corridor,net_link_id,lanes,miles,C_vphpl,C_veh_per_h,D_veh_per_lane,D_veh_total,D_over_C_h,V_veh_total,free_speed_mph,cutoff_mph,congested,P_h,t0_clock,T2_clock,t3_clock,vT2_mph,recovery_over_onset,speed_mae_episode_mph,speed_rmse_episode_mph,note
I-395 NB,28025,4,0.924456,2200.0,8800.0,5425.0264361896,21700.1057447584,2.465921107358909,34211.83320096503,66.91788888888888,46.842522222222215,True,2.4630188763888885,16:13,18:00,18:41,37.24977777777777,0.39012200332765673,1.063068179586726,1.3877318647164953,
I-395 NB,28270,4,0.586105,2200.0,8800.0,3282.362432507185,13129.44973002874,1.4919829238669022,33791.436991253315,67.11566666666667,46.98096666666667,True,1.4711931697222222,16:58,17:45,18:26,41.926,0.8951640597371214,0.31501655812893264,0.3949254642383656,
I-395 NB,28285,4,0.596275,2200.0,8800.0,3791.5189600160056,15166.075840064022,1.7234177090981844,34665.30554120279,65.56405555555557,45.8948388888889,True,1.806475975277778,16:54,17:45,18:43,37.65577777777778,1.1671580675906774,0.5650462440694183,0.6794551485531433,
I-395 NB,28294,4,0.3436,2200.0,8800.0,3746.2098984642193,14984.839593856877,1.7028226811200997,34148.961281479256,66.94288888888889,46.86002222222222,True,1.8098321622222222,16:55,17:45,18:44,35.43533333333334,1.192509779457545,1.016351200904212,1.270531385903735,
I-395 NB,28303,4,0.704235,2200.0,8800.0,3237.8849092395803,12951.539636958321,1.471765867836173,34326.929945013966,67.20616666666668,47.04431666666667,True,1.8431748552777778,16:52,17:45,18:42,38.31755555555555,1.0992145926029164,1.388374182555086,1.6414511191860106,
I-395 NB,29007,4,0.27347,2200.0,8800.0,7377.808005528865,29511.23202211546,3.3535490934222114,29511.23202211546,64.2635,44.984449999999995,True,12.856838184444445,06:32,17:00,19:24,19.915333333333336,0.22982573962079572,4.252693314248818,5.635954293413401,episode spans the morning peak too; P is an all-day figure
I-395 NB,29361,4,1.621245,2200.0,8800.0,7415.308675134408,29661.234700537632,3.370594852333822,29661.234700537632,65.26299999999999,45.684099999999994,True,4.8314856369444446,14:18,17:30,19:08,15.26666666666666,0.5123754515052564,5.033426797479942,6.034692315893167,"episode runs past the PM window, as most do"
I-395 NB,32141,4,1.151222,2200.0,8800.0,1646.0420604308874,6584.16824172355,0.7482009365594943,34564.811255847926,66.07944444444443,46.2556111111111,False,0.0,,,,,,,,
I-395 NB,32601,4,0.647875,2200.0,8800.0,7548.793804471392,30195.175217885568,3.4312699111233598,34594.356270777964,65.08833333333332,45.561833333333325,True,3.604855220277778,15:25,17:30,19:01,34.748,0.7314370632358567,1.0752168859634215,1.336420332774562,
I-395 SB,26471,3,0.24169,2200.0,6600.0,0.0,0.0,0.0,24790.771705668994,50.84182941275405,35.589280588927835,False,0.0,,,,,,,,
I-395 SB,26712,6,0.189735,2200.0,13200.0,0.0,0.0,0.0,51719.54687410772,51.42655555555555,35.99858888888888,False,0.0,,,,,,,,
I-395 SB,26759,4,0.59288,2200.0,8800.0,6851.089775371948,27404.359101487793,3.114131716078158,33850.91549581985,60.45061111111111,42.31542777777777,True,3.2382549183333333,15:13,15:45,18:27,27.590666666666664,5.090479381030939,2.0116406026513203,2.4190172769300644,
I-395 SB,26764,4,0.223822,2200.0,8800.0,6222.577513727064,24890.310054908256,2.8284443244213926,33588.94588945208,59.35461111111111,41.548227777777775,True,3.2610082669444442,15:16,17:45,18:31,28.12244444444445,0.3134003828025915,2.5259860911526753,3.709906954230307,
I-395 SB,26776,4,0.539375,2200.0,8800.0,6197.400642822427,24789.602571289706,2.817000292192012,33491.8515783175,61.56772222222222,43.097405555555554,True,3.2453537563888886,15:17,17:30,18:32,29.115777777777776,0.46740264760128614,2.596154709185155,3.884962703591794,
I-395 SB,26781,4,0.075065,2200.0,8800.0,6199.692721576641,24798.770886306564,2.8180421461712,33549.20608364936,63.10066666666667,44.17046666666666,True,3.3575483349999997,15:16,17:30,18:37,29.906888888888897,0.5053642923539019,2.75249234260458,3.936856760434402,
I-395 SB,26792,4,0.626954,2200.0,8800.0,7733.541187134232,30934.16474853693,3.5152459941519236,33132.28554337105,63.44666666666667,44.41266666666667,True,3.980383832222222,14:50,17:45,18:49,28.813333333333333,0.36815041294529144,2.825846921643053,3.893315008502918,
I-395 SB,26796,4,0.481819,2200.0,8800.0,7421.233722175302,29684.93488870121,3.3732880555342284,29684.93488870121,64.55691666666667,45.189841666666666,True,4.731945048333333,14:14,15:45,18:58,19.74711111111111,2.1504136516083747,5.106726422769587,6.3910547872967856,"episode runs past the PM window, as most do"
I-395 SB,26809,3,1.063231,2200.0,6600.0,7273.175282503171,21819.52584750951,3.3059887647741686,23457.42857508152,58.924055555555555,41.24683888888889,True,3.8261844405555556,14:53,15:45,18:43,20.850222222222225,3.4567568433545497,3.3123128209900607,4.396737289388679,
I-395 SB,26827,2,0.031164,2200.0,4400.0,0.0,0.0,0.0,14397.807734112655,54.52861111111111,38.170027777777776,False,0.0,,,,,,,,
I-395 SB,26829,3,0.246745,2200.0,6600.0,0.0,0.0,0.0,23086.305805222968,51.975535325980786,36.38287472818655,False,0.0,,,,,,,,
I-395 SB,28283,4,0.771707,2200.0,8800.0,0.0,0.0,0.0,33946.511889833266,63.590666666666664,44.51346666666666,False,0.0,,,,,,,,
I-395 SB,28289,4,0.922212,2200.0,8800.0,6383.896825625237,25535.58730250095,2.901771284375108,34265.250705026636,64.39116666666666,45.07381666666666,True,3.4537893044444443,15:02,15:45,18:30,32.27488888888889,3.9208198891109585,1.354672273775255,1.6346660297653586,
I-395 SB,28302,4,0.76605,2200.0,8800.0,6100.773333208978,24403.093332835913,2.773078787822263,32986.29754619746,63.196999999999996,44.237899999999996,True,3.251998789166667,15:06,15:45,18:21,22.20866666666667,4.028105336057773,2.5765981849696753,3.3519531671291163,
I-395 SB,28307,4,0.122184,2200.0,8800.0,6368.194099151344,25472.776396605375,2.894633681432429,34026.87265067402,60.73838888888889,42.51687222222222,True,3.1006261952777776,15:14,15:45,18:20,27.51155555555556,5.023623744444386,2.0990747911096577,2.7752513062073056,
I-395 SB,32603,3,1.301767,2200.0,6600.0,0.0,0.0,0.0,25438.278884151456,64.42027777777778,45.09419444444445,False,0.0,,,,,,,,
I-395 SB,32610,3,0.183298,2200.0,6600.0,0.0,0.0,0.0,25819.996255579183,64.0265,44.818549999999995,False,0.0,,,,,,,,
I-395 SB,32611,4,0.508993,2200.0,8800.0,0.0,0.0,0.0,34212.7372060645,64.09511111111112,44.866577777777785,False,0.0,,,,,,,,
I-395 SB,32623,3,1.053164,2200.0,6600.0,0.0,0.0,0.0,24778.27455774728,64.74341666666666,45.32039166666666,False,0.0,,,,,,,,
I-66 EB,25608,2,0.458194,2200.0,4400.0,6007.75324213226,12015.50648426452,2.7307969282419364,12015.50648426452,63.683037636632164,44.57812634564251,True,5.722267238055555,13:51,17:15,19:35,13.431797152233772,0.6900834678779192,2.1768523171890046,3.115925818374003,"episode runs past the PM window, as most do"
I-66 EB,25947,2,0.25864,2200.0,4400.0,0.0,0.0,0.0,15493.439134579672,50.858000000000004,35.6006,False,0.0,,,,,,,,
I-66 EB,26049,2,0.87601,2200.0,4400.0,8034.059248939508,16068.118497879015,3.6518451131543217,16068.118497879015,64.24372222222222,44.97060555555555,True,5.652747490555555,13:52,17:15,19:31,28.92311111111111,0.6713434895094065,2.1763258910086685,3.0136120279401517,"episode runs past the PM window, as most do"
I-66 EB,26183,3,0.241782,2200.0,6600.0,7142.312642234901,21426.937926704704,3.24650574647041,21426.937926704704,66.26716666666667,46.38701666666667,True,4.243136478888889,14:49,16:45,19:04,15.005333333333331,1.2057768005220426,3.706497490823205,4.430381121170222,"episode runs past the PM window, as most do"
I-66 EB,26303,3,0.100721,2200.0,6600.0,0.0,0.0,0.0,25183.453514966153,53.55469909586266,37.48828936710386,False,0.0,,,,,,,,
I-66 EB,26306,1,0.160698,2200.0,2200.0,0.0,0.0,0.0,8665.580861649956,53.57538888888889,37.50277222222222,False,0.0,,,,,,,,
I-66 EB,26322,3,1.550586,2200.0,6600.0,6146.5553042607025,18439.665912782108,2.7938887746639556,18439.665912782108,65.14866666666666,45.604066666666654,True,5.1659378175,14:10,17:00,19:20,13.464666666666668,0.8298072242328028,2.2806510906785027,2.961875490502116,"episode runs past the PM window, as most do"
I-66 EB,26732,4,0.292825,2200.0,8800.0,6378.401442159789,25513.605768639158,2.899273382799904,32075.614132677994,66.86176737387197,46.80323716171038,True,3.4886711605555556,15:21,17:45,18:51,21.904719448696444,0.4630833750967871,1.3366629888781962,1.6432419833918928,
I-66 EB,26735,3,0.257485,2200.0,6600.0,7100.9338317329,21302.8014951987,3.2276971962422274,22951.110589248692,67.0105,46.907349999999994,True,3.8824049791666666,15:04,17:45,18:57,18.640222222222224,0.4501888527339945,2.2696708313405565,2.6901758078158027,
I-66 EB,26736,3,0.313435,2200.0,6600.0,6644.754992684346,19934.264978053037,3.0203431784928845,19934.264978053037,66.40311111111112,46.48217777777778,True,4.596574149166667,14:34,16:45,19:10,13.001777777777777,1.1198011350549142,2.8555972446922295,3.3566421267052102,"episode runs past the PM window, as most do"
