corridor,net_link_id,tmcs,miles,lanes,C_vphpl,C_veh_per_h,free_speed_mph,cutoff_mph,congested,P_h,t0_min,T2_min,t3_min,vT2_mph,onset_to_T2_h,T2_to_recovery_h,recovery_over_onset,episode_starts_before_noon,episode_longer_than_the_pm_window,D_veh_per_lane,D_veh_total,V_veh_per_lane,V_veh_total,D_over_C_h,V_over_C_h,speed_mae_period_mph,speed_rmse_period_mph,speed_mae_episode_mph,speed_rmse_episode_mph,episode_bins_in_pm,P_h_config_vf,D_veh_per_lane_config_vf,D_over_C_h_config_vf,congested_tmcs_config_vf,cbi_free_speed_mph,cbi_cutoff_mph,cbi_capacity_vphpl,t0_clock,T2_clock,t3_clock,note
I-395 SB,32623,1,1.053164,3,2200.0,6600.0,64.74341666666666,45.32039166666666,False,0.0,,,,,,,,False,False,0.0,0.0,8259.424852582428,24778.27455774728,0.0,3.7542840239011035,9.35075,9.443104739335235,,,0,0.0,0.0,0.0,0,,,,,,,
I-66 EB,25608,2,0.458194,2,2200.0,4400.0,63.683037636632164,44.57812634564251,True,5.722267238055555,831.8526165666666,1035.0,1175.18865085,13.431797152233772,3.3857897238888888,2.336477514166667,0.6900834678779192,False,True,6007.75324213226,12015.50648426452,6007.75324213226,12015.50648426452,2.7307969282419364,2.7307969282419364,2.1768523171890046,3.115925818374003,2.1768523171890046,3.115925818374003,16,4.0,5746.827361953167,2.6121942554332573,2,64.33399999999999,45.0,2000.0,13:51,17:15,19:35,"episode runs past the PM window, as most do"
I-66 EB,25947,1,0.25864,2,2200.0,4400.0,50.858000000000004,35.6006,False,0.0,,,,,,,,False,False,0.0,0.0,7746.719567289836,15493.439134579672,0.0,3.5212361669499255,5.57779166666667,6.2860475857250755,,,0,4.0,8718.134162604138,3.9627882557291536,1,54.078,37.9,1900.0,,,,
I-66 EB,26049,1,0.87601,2,2200.0,4400.0,64.24372222222222,44.97060555555555,True,5.652747490555555,832.07052945,1035.0,1171.2353788833332,28.92311111111111,3.3821578425000003,2.2705896480555556,0.6713434895094065,False,True,8034.059248939508,16068.118497879015,8034.059248939508,16068.118497879015,3.6518451131543217,3.6518451131543217,2.1763258910086685,3.0136120279401517,2.1763258910086685,3.0136120279401517,16,4.0,7783.496850759835,3.537953113981743,1,,,,13:52,17:15,19:31,"episode runs past the PM window, as most do"
I-66 EB,26183,1,0.241782,3,2200.0,6600.0,66.26716666666667,46.38701666666667,True,4.243136478888889,889.5811649333333,1005.0,1144.1693536666667,15.005333333333331,1.9236472511111111,2.319489227777778,1.2057768005220426,False,True,7142.312642234901,21426.937926704704,7142.312642234901,21426.937926704704,3.24650574647041,3.24650574647041,3.706497490823205,4.430381121170222,3.706497490823205,4.430381121170222,16,4.0,6988.608618017232,3.176640280916924,1,66.658,46.7,2000.0,14:49,16:45,19:04,"episode runs past the PM window, as most do"
I-66 EB,26303,2,0.100721,3,2200.0,6600.0,53.55469909586266,37.48828936710386,False,0.0,,,,,,,,False,False,0.0,0.0,8394.484504988717,25183.453514966153,0.0,3.8156747749948714,8.717696748910333,8.830725946474873,,,0,4.0,8722.02245110779,3.96455565959445,2,,,,,,,
I-66 EB,26306,1,0.160698,1,2200.0,2200.0,53.57538888888889,37.50277222222222,False,0.0,,,,,,,,False,False,0.0,0.0,8665.580861649956,8665.580861649956,0.0,3.938900391659071,11.65451388888889,11.75745090246034,,,0,4.0,8612.519953573526,3.914781797078876,1,55.777,39.0,1900.0,,,,
I-66 EB,26322,1,1.550586,3,2200.0,6600.0,65.14866666666666,45.604066666666654,True,5.1659378175,850.6071454166666,1020.0,1160.5634144666667,13.464666666666668,2.823214243055556,2.3427235744444443,0.8298072242328028,False,True,6146.5553042607025,18439.665912782108,6146.5553042607025,18439.665912782108,2.7938887746639556,2.7938887746639556,2.2806510906785027,2.961875490502116,2.2806510906785027,2.961875490502116,16,4.0,5945.564815042351,2.7025294613828867,1,65.51,45.9,2000.0,14:10,17:00,19:20,"episode runs past the PM window, as most do"
I-66 EB,26732,4,0.292825,4,2200.0,8800.0,66.86176737387197,46.80323716171038,True,3.4886711605555556,921.9320975166667,1065.0,1131.2523671499998,21.904719448696444,2.384465041388889,1.1042061191666668,0.4630833750967871,False,False,6378.401442159789,25513.605768639158,8018.903533169499,32075.614132677994,2.899273382799904,3.644956151440681,3.2099530461494235,6.036006722780455,1.3366629888781962,1.6432419833918928,14,3.75,7381.875974824619,3.355398170374827,4,,,,15:21,17:45,18:51,
I-66 EB,26735,1,0.257485,3,2200.0,6600.0,67.0105,46.907349999999994,True,3.8824049791666666,904.3696805,1065.0,1137.31397925,18.640222222222224,2.677171991666667,1.2052329874999999,0.4501888527339945,False,False,7100.9338317329,21302.8014951987,7650.370196416231,22951.110589248692,3.2276971962422274,3.477440998371014,3.2612365432706607,5.228669992404386,2.2696708313405565,2.6901758078158027,15,4.0,7541.8549947244355,3.428115906692925,1,,,,15:04,17:45,18:57,
