net_link_id,corridor,t_min,clock,obs_speed_mph,obs_speed_smoothed_mph,backcalc_speed_mph,in_episode,cutoff_mph,free_speed_mph,q_vphpl,in_pm_period
28289,I-395 SB,435,07:15,63.216,62.68044444444444,64.39116666666666,False,45.07381666666666,64.39116666666666,1468.87360446519,False
28289,I-395 SB,450,07:30,60.706,61.77577777777778,64.39116666666666,False,45.07381666666666,64.39116666666666,1618.605309539902,False
28289,I-395 SB,465,07:45,61.40533333333334,61.10066666666666,64.39116666666666,False,45.07381666666666,64.39116666666666,1702.564991010424,False
28289,I-395 SB,480,08:00,61.190666666666665,61.22133333333333,64.39116666666666,False,45.07381666666666,64.39116666666666,1688.8073035522164,False
28289,I-395 SB,495,08:15,61.068,61.45866666666666,64.39116666666666,False,45.07381666666666,64.39116666666666,1660.2581399495316,False
28289,I-395 SB,510,08:30,62.117333333333335,61.8051111111111,64.39116666666666,False,45.07381666666666,64.39116666666666,1614.5246478403953,False
28289,I-395 SB,525,08:45,62.23,62.4431111111111,64.39116666666666,False,45.07381666666666,64.39116666666666,1513.7813340199832,False
28289,I-395 SB,540,09:00,62.98199999999999,62.45466666666666,64.39116666666666,False,45.07381666666666,64.39116666666666,1511.705729074101,False
28289,I-395 SB,555,09:15,62.152,62.90311111111111,64.39116666666666,False,45.07381666666666,64.39116666666666,1421.6885127445544,False
28289,I-395 SB,570,09:30,63.57533333333333,62.74933333333333,64.39116666666666,False,45.07381666666666,64.39116666666666,1454.8532506108745,False
28289,I-395 SB,585,09:45,62.52066666666667,62.834666666666664,64.39116666666666,False,45.07381666666666,64.39116666666666,1436.7862058825417,False
28289,I-395 SB,600,10:00,62.408,62.556222222222225,64.39116666666666,False,45.07381666666666,64.39116666666666,1492.9948674914222,False
28289,I-395 SB,615,10:15,62.74,62.776,64.39116666666666,False,45.07381666666666,64.39116666666666,1449.2933155166984,False
28289,I-395 SB,630,10:30,63.18,62.54377777777777,64.39116666666666,False,45.07381666666666,64.39116666666666,1495.3343881855078,False
28289,I-395 SB,645,10:45,61.71133333333333,62.22777777777777,64.39116666666666,False,45.07381666666666,64.39116666666666,1550.6431026164998,False
