variant_id,category,sample_min,enter_ratio,persistence_min,noise_sigma_mph,noise_seed,baseline_episode_id,link_id,matched,iou,variant_episode_id,delta_t0_min,delta_T2_min,delta_t3_min,delta_P_min
threshold_r0.70_p10,threshold_persistence,5,0.7,10,0.0,,L405S-115-2025-06-04-E1,L405S-115,True,1.0,threshold_r0.70_p10:L405S-115:E4,0.0,0.0,0.0,0.0
threshold_r0.70_p10,threshold_persistence,5,0.7,10,0.0,,L405S-115-2025-06-05-E1,L405S-115,True,1.0,threshold_r0.70_p10:L405S-115:E5,0.0,0.0,0.0,0.0
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-012-2025-06-02-E1,L405S-012,True,1.0,threshold_r0.70_p20:L405S-012:E1,0.0,0.0,0.0,0.0
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-012-2025-06-03-E1,L405S-012,True,1.0,threshold_r0.70_p20:L405S-012:E2,0.0,0.0,0.0,0.0
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-012-2025-06-03-E2,L405S-012,True,1.0,threshold_r0.70_p20:L405S-012:E3,0.0,0.0,0.0,0.0
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-012-2025-06-04-E1,L405S-012,True,1.0,threshold_r0.70_p20:L405S-012:E4,0.0,0.0,0.0,2.6645352591003757e-14
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-012-2025-06-05-E1,L405S-012,True,1.0,threshold_r0.70_p20:L405S-012:E5,0.0,0.0,0.0,0.0
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-018-2025-06-02-E1,L405S-018,False,0.0,,,,,
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-018-2025-06-03-E1,L405S-018,True,1.0,threshold_r0.70_p20:L405S-018:E1,0.0,0.0,0.0,0.0
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-018-2025-06-03-E2,L405S-018,True,1.0,threshold_r0.70_p20:L405S-018:E2,0.0,0.0,0.0,0.0
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-018-2025-06-04-E1,L405S-018,True,1.0,threshold_r0.70_p20:L405S-018:E3,0.0,0.0,0.0,0.0
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-018-2025-06-05-E1,L405S-018,True,1.0,threshold_r0.70_p20:L405S-018:E4,0.0,0.0,0.0,0.0
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-018-2025-06-05-E2,L405S-018,True,1.0,threshold_r0.70_p20:L405S-018:E5,0.0,0.0,0.0,3.3306690738754696e-15
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-028-2025-06-03-E1,L405S-028,True,1.0,threshold_r0.70_p20:L405S-028:E1,0.0,0.0,0.0,0.0
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-028-2025-06-03-E2,L405S-028,True,1.0,threshold_r0.70_p20:L405S-028:E2,0.0,0.0,0.0,2.6645352591003757e-14
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-028-2025-06-04-E1,L405S-028,True,1.0,threshold_r0.70_p20:L405S-028:E3,0.0,0.0,0.0,0.0
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-028-2025-06-04-E2,L405S-028,True,1.0,threshold_r0.70_p20:L405S-028:E4,0.0,0.0,0.0,0.0
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-028-2025-06-05-E1,L405S-028,True,1.0,threshold_r0.70_p20:L405S-028:E5,0.0,0.0,0.0,0.0
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-030-2025-06-02-E1,L405S-030,True,1.0,threshold_r0.70_p20:L405S-030:E1,0.0,0.0,0.0,0.0
threshold_r0.70_p20,threshold_persistence,5,0.7,20,0.0,,L405S-030-2025-06-03-E1,L405S-030,True,1.0,threshold_r0.70_p20:L405S-030:E2,0.0,0.0,0.0,0.0
