tmc_code,measurement_tstamp,speed,reference_speed,date,tod_min,clock_min,timestamp,period,wall_clock
110-04178,2025-10-08 10:30:00,57.95,62.0,2025-10-08,630,630,2025-10-08 10:30:00-04:00,MD,10:30
110-04178,2025-10-08 10:35:00,58.33,62.0,2025-10-08,635,635,2025-10-08 10:35:00-04:00,MD,10:35
110-04178,2025-10-08 10:40:00,50.57,62.0,2025-10-08,640,640,2025-10-08 10:40:00-04:00,MD,10:40
110-04178,2025-10-08 10:45:00,48.93,62.0,2025-10-08,645,645,2025-10-08 10:45:00-04:00,MD,10:45
110-04178,2025-10-08 10:50:00,53.59,62.0,2025-10-08,650,650,2025-10-08 10:50:00-04:00,MD,10:50
110-04178,2025-10-08 10:55:00,58.44,62.0,2025-10-08,655,655,2025-10-08 10:55:00-04:00,MD,10:55
110-04178,2025-10-08 11:00:00,58.31,62.0,2025-10-08,660,660,2025-10-08 11:00:00-04:00,MD,11:00
110-04178,2025-10-08 11:05:00,58.1,62.0,2025-10-08,665,665,2025-10-08 11:05:00-04:00,MD,11:05
110-04178,2025-10-08 11:10:00,58.56,62.0,2025-10-08,670,670,2025-10-08 11:10:00-04:00,MD,11:10
110-04178,2025-10-08 11:15:00,62.56,62.0,2025-10-08,675,675,2025-10-08 11:15:00-04:00,MD,11:15
110-04178,2025-10-08 11:20:00,54.58,62.0,2025-10-08,680,680,2025-10-08 11:20:00-04:00,MD,11:20
110-04178,2025-10-08 11:25:00,57.51,62.0,2025-10-08,685,685,2025-10-08 11:25:00-04:00,MD,11:25
110-04178,2025-10-08 11:30:00,59.65,62.0,2025-10-08,690,690,2025-10-08 11:30:00-04:00,MD,11:30
110-04178,2025-10-08 11:35:00,63.58,62.0,2025-10-08,695,695,2025-10-08 11:35:00-04:00,MD,11:35
110-04178,2025-10-08 11:40:00,59.95,62.0,2025-10-08,700,700,2025-10-08 11:40:00-04:00,MD,11:40
110-04178,2025-10-08 11:45:00,56.48,62.0,2025-10-08,705,705,2025-10-08 11:45:00-04:00,MD,11:45
110-04178,2025-10-08 11:50:00,53.71,62.0,2025-10-08,710,710,2025-10-08 11:50:00-04:00,MD,11:50
110-04178,2025-10-08 11:55:00,57.4,62.0,2025-10-08,715,715,2025-10-08 11:55:00-04:00,MD,11:55
110-04178,2025-10-08 12:00:00,59.76,62.0,2025-10-08,720,720,2025-10-08 12:00:00-04:00,MD,12:00
110-04178,2025-10-08 12:05:00,58.99,62.0,2025-10-08,725,725,2025-10-08 12:05:00-04:00,MD,12:05
110-04178,2025-10-08 12:10:00,55.51,62.0,2025-10-08,730,730,2025-10-08 12:10:00-04:00,MD,12:10
110-04178,2025-10-08 12:15:00,57.94,62.0,2025-10-08,735,735,2025-10-08 12:15:00-04:00,MD,12:15
