time_of_day,speed_mph,period,flow_speed_only_vehph,flow_ref_vehph,flow_ref_source,volume_anchor_factor,lambda_ref_vehph,lambda_ref_source,mu_ref_vehph,queue_start_veh,queue_end_veh,realized_departure_vehph,cumulative_arrivals_veh,cumulative_departures_veh,waiting_time_min,travel_time_min,net_flow_ref_vehph,link_id,tmc_id,dt_minutes,initial_queue_veh
15:50,34.228,PM,5306.236010530243,2352.540947872536,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2352.540947872536,speed_to_volume_proxy,1705.801188287569,592.8998906806726,646.7948706460866,1705.8011882875687,2210.445959909691,1563.6510892636043,24.999999999999996,25.29523809523809,646.739759584967,26736,110N04169,5,0
15:55,33.152,PM,5245.92698963227,2325.8027023615896,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2325.8027023615896,speed_to_volume_proxy,1705.801188287569,646.7948706460866,698.4616634855884,1705.8011882875687,2404.2628517731564,1705.8011882875683,24.999999999999996,25.29523809523809,620.0015140740206,26736,110N04169,5,0
16:00,31.902,PM,5171.387138572422,2292.7551614081503,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2292.7551614081503,speed_to_volume_proxy,1705.801188287569,698.4616634855884,747.3744945789701,1705.8011882875687,2595.325781890502,1847.9512873115323,30.0,30.295238095238094,586.9539731205814,26736,110N04169,5,0
16:05,30.466,PM,5079.92135114758,2252.203438902908,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2252.203438902908,speed_to_volume_proxy,1705.801188287569,747.3744945789701,792.9080154635817,1705.8011882875687,2783.0094017990778,1990.1013863354963,30.0,30.295238095238094,546.4022506153392,26736,110N04169,5,0
16:10,28.83,PM,4968.212793504826,2202.6770032975496,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2202.6770032975496,speed_to_volume_proxy,1705.801188287569,792.9080154635817,834.3143333810801,1705.8011882875687,2966.56581874054,2132.2514853594603,30.0,30.295238095238094,496.87581500998067,26736,110N04169,5,0
16:15,27.091,PM,4840.749358489454,2146.1655798261713,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2146.1655798261713,speed_to_volume_proxy,1705.801188287569,834.3143333810801,871.011366009297,1705.8011882875687,3145.412950392721,2274.4015843834245,34.99999999999999,35.29523809523809,440.3643915386024,26736,110N04169,5,0
16:20,25.471,PM,4713.871392114345,2089.9137262169666,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2089.9137262169666,speed_to_volume_proxy,1705.801188287569,871.011366009297,903.0207441700802,1705.8011882875687,3319.5724275774683,2416.5516834073887,34.99999999999999,35.29523809523809,384.1125379293976,26736,110N04169,5,0
16:25,23.974,PM,4589.527513290895,2034.7853704542465,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,2034.7853704542465,speed_to_volume_proxy,1705.801188287569,903.0207441700802,930.4360926839702,1705.8011882875687,3489.137875115322,2558.701782431353,34.99999999999999,35.29523809523809,328.98418216667756,26736,110N04169,5,0
16:30,22.602,PM,4469.416811368244,1981.5338105933592,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1981.5338105933592,speed_to_volume_proxy,1705.801188287569,930.4360926839702,953.4138112094527,1705.8011882875687,3654.2656926647687,2700.851881455317,34.99999999999999,35.29523809523809,275.7326223057903,26736,110N04169,5,0
16:35,21.353,PM,4354.7845570514855,1930.7111423795936,speed_to_volume:s3+period_volume_anchor,0.4433539976744175,1930.7111423795936,speed_to_volume_proxy,1705.801188287569,953.4138112094527,972.1563073837881,1705.8011882875687,3815.1582878630684,2843.0019804792814,34.99999999999999,35.29523809523809,224.9099540920247,26736,110N04169,5,0
