link_id,tmc_id,time_of_day,period,dt_minutes,lambda_ref_vehph,mu_ref_vehph,flow_ref_vehph,speed_mph,queue_start_veh,queue_end_veh,waiting_time_min,travel_time_min,cumulative_arrivals_veh,cumulative_departures_veh,flow_ref_source,lambda_ref_source
26736,110N04169,17:20,PM,5,1617.4146525172985,1705.801188287569,1617.4146525172985,14.701,1000.7006816369633,993.3351369894408,34.99999999999999,35.29523809523809,5115.688008684398,4122.3528716949595,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,17:25,PM,5,1599.9204801490016,1705.801188287569,1599.9204801490016,14.375,993.3351369894408,984.5117446445602,34.99999999999999,35.29523809523809,5249.014715363481,4264.502970718923,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,17:30,PM,5,1586.0726163767115,1705.801188287569,1586.0726163767115,14.12,984.5117446445602,974.5343636519888,34.99999999999999,35.29523809523809,5381.187433394874,4406.653069742887,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,17:35,PM,5,1575.9341980587944,1705.801188287569,1575.9341980587944,13.935,974.5343636519888,963.7121144662576,34.99999999999999,35.29523809523809,5512.515283233106,4548.803168766851,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,17:40,PM,5,1569.7029054279467,1705.801188287569,1569.7029054279467,13.822,963.7121144662576,952.3705908946224,34.99999999999999,35.29523809523809,5643.323858685435,4690.953267790815,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,17:45,PM,5,1567.5454135017485,1705.801188287569,1567.5454135017485,13.783,952.3705908946224,940.8492763291374,34.99999999999999,35.29523809523809,5773.952643143914,4833.103366814778,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,17:50,PM,5,1569.8134507155003,1705.801188287569,1569.8134507155003,13.824,940.8492763291374,929.5169648647984,34.99999999999999,35.29523809523809,5904.770430703539,4975.253465838742,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,17:55,PM,5,1576.7591469423546,1705.801188287569,1576.7591469423546,13.95,929.5169648647984,918.7634614193639,34.99999999999999,35.29523809523809,6036.167026282069,5117.403564862706,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,18:00,PM,5,1589.0172799537158,1705.801188287569,1589.0172799537158,14.174,918.7634614193639,909.0314690582095,34.99999999999999,35.29523809523809,6168.585132944879,5259.55366388667,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,18:05,PM,5,1607.0320162121952,1705.801188287569,1607.0320162121952,14.507,909.0314690582095,900.8007047185952,34.99999999999999,35.29523809523809,6302.504467629228,5401.7037629106335,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,18:10,PM,5,1631.7826102876727,1705.801188287569,1631.7826102876727,14.972,900.8007047185952,894.6324898852706,34.99999999999999,35.29523809523809,6438.486351819867,5543.853861934597,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,18:15,PM,5,1664.2302695237904,1705.801188287569,1664.2302695237904,15.595,894.6324898852706,891.1682466549557,34.99999999999999,35.29523809523809,6577.172207613517,5686.003960958561,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,18:20,PM,5,1705.801188287569,1705.801188287569,1705.801188287569,16.416,891.1682466549557,891.1682466549557,34.99999999999999,35.29523809523809,6719.32230663748,5828.154059982525,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,18:25,PM,5,1758.3506332027546,1705.801188287569,1758.3506332027546,17.492,891.1682466549557,895.5473670645547,,,6865.851526071043,5970.304159006489,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,18:30,PM,5,1824.2896239753181,1705.801188287569,1824.2896239753181,18.906,895.5473670645547,905.4214033718672,,,7017.87566140232,6112.454258030452,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,18:35,PM,5,1906.7503219170358,1705.801188287569,1906.7503219170358,20.783,905.4214033718672,922.1671645076563,,,7176.771521562073,6254.604357054416,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,18:40,PM,5,2009.6544987285165,1705.801188287569,2009.6544987285165,23.318,922.1671645076563,947.4882737110686,,,7344.242729789449,6396.75445607838,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,18:45,PM,5,2136.863112372429,1705.801188287569,2136.863112372429,26.816,947.4882737110686,983.4101007181403,,,7522.314655820485,6538.904555102344,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,18:50,PM,5,2288.9226564913915,1705.801188287569,2288.9226564913915,31.762,983.4101007181403,1032.0035564017921,,,7713.058210528101,6681.0546541263075,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
26736,110N04169,18:55,PM,5,2521.7182736627806,1705.801188287569,2521.7182736627806,45.202,1032.0035564017921,1099.9966468497266,,,7923.201399999999,6823.204753150271,speed_to_volume:s3+period_volume_anchor,speed_to_volume_proxy
