link_id,corridor,tmc_code,t_min,anchor_period,lanes,length_mi,free_speed_mph,cutoff_mph,mu_vph,lambda_anchored_vph,outflow_vph,queue_model_veh,queue_meas_veh,delay_h,travel_time_h,speed_mph,speed_model_mph,lambda_identifiable,model_episode_id
25946,I66_WB,110+04164,540,MD,3,0.29,53.4065,37.38455,5700.0,1824.46095595056,1824.46095595056,0.0,0.0,0.0,0.0054300506492655385,46.9895652173913,53.4065,False,
25946,I66_WB,110+04164,555,MD,3,0.29,53.4065,37.38455,5700.0,1817.232559557664,1817.232559557664,0.0,0.0,0.0,0.0054300506492655385,47.14043478260869,53.4065,False,
25946,I66_WB,110+04164,570,MD,3,0.29,53.4065,37.38455,5700.0,1765.2900866248776,1765.2900866248776,0.0,0.0,0.0,0.0054300506492655385,48.09695652173913,53.4065,False,
25946,I66_WB,110+04164,585,MD,3,0.29,53.4065,37.38455,5700.0,1753.3051745543964,1753.3051745543964,0.0,0.0,0.0,0.0054300506492655385,48.29086956521739,53.4065,False,
25946,I66_WB,110+04164,600,MD,3,0.29,53.4065,37.38455,5700.0,1742.567500073016,1742.567500073016,0.0,0.0,0.0,0.0054300506492655385,48.45739130434782,53.4065,False,
25946,I66_WB,110+04164,615,MD,3,0.29,53.4065,37.38455,5700.0,1720.5330015917582,1720.5330015917582,0.0,0.0,0.0,0.0054300506492655385,48.77956521739131,53.4065,False,
25946,I66_WB,110+04164,630,MD,3,0.29,53.4065,37.38455,5700.0,1729.6022684933437,1729.6022684933437,0.0,0.0,0.0,0.0054300506492655385,48.65,53.4065,False,
25946,I66_WB,110+04164,645,MD,3,0.29,53.4065,37.38455,5700.0,1701.6609154166451,1701.6609154166451,0.0,0.0,0.0,0.0054300506492655385,49.03652173913043,53.4065,False,
25946,I66_WB,110+04164,660,MD,3,0.29,53.4065,37.38455,5700.0,1722.4437318671055,1722.4437318671055,0.0,0.0,0.0,0.0054300506492655385,48.75260869565217,53.4065,False,
25946,I66_WB,110+04164,675,MD,3,0.29,53.4065,37.38455,5700.0,1807.537927725344,1807.537927725344,0.0,0.0,0.0,0.0054300506492655385,47.33521739130435,53.4065,False,
25946,I66_WB,110+04164,690,MD,3,0.29,53.4065,37.38455,5700.0,1836.429657106158,1836.429657106158,0.0,0.0,0.0,0.0054300506492655385,46.72826086956522,53.4065,False,
25946,I66_WB,110+04164,705,MD,3,0.29,53.4065,37.38455,5700.0,1817.4865523426915,1817.4865523426915,0.0,0.0,0.0,0.0054300506492655385,47.13521739130434,53.4065,False,
25946,I66_WB,110+04164,720,MD,3,0.29,53.4065,37.38455,5700.0,1787.8286549711936,1787.8286549711936,0.0,0.0,0.0,0.0054300506492655385,47.70695652173913,53.4065,False,
25946,I66_WB,110+04164,735,MD,3,0.29,53.4065,37.38455,5700.0,1827.3305279876192,1827.3305279876192,0.0,0.0,0.0,0.0054300506492655385,46.928260869565214,53.4065,False,
25946,I66_WB,110+04164,750,MD,3,0.29,53.4065,37.38455,5700.0,1846.065749908901,1846.065749908901,0.0,0.0,0.0,0.0054300506492655385,46.50652173913044,53.4065,False,
25946,I66_WB,110+04164,765,MD,3,0.29,53.4065,37.38455,5700.0,1756.039864600867,1756.039864600867,0.0,0.0,0.0,0.0054300506492655385,48.24739130434783,53.4065,False,
25946,I66_WB,110+04164,780,MD,3,0.29,53.4065,37.38455,5700.0,1771.9292256168612,1771.9292256168612,0.0,0.0,0.0,0.0054300506492655385,47.985652173913046,53.4065,False,
25946,I66_WB,110+04164,795,MD,3,0.29,53.4065,37.38455,5700.0,1857.798761254408,1857.798761254408,0.0,0.0,0.0,0.0054300506492655385,46.22130434782608,53.4065,False,
25946,I66_WB,110+04164,810,MD,3,0.29,53.4065,37.38455,5700.0,1795.7935034948073,1795.7935034948073,0.0,0.0,0.0,0.0054300506492655385,47.5604347826087,53.4065,False,
25946,I66_WB,110+04164,825,MD,3,0.29,53.4065,37.38455,5700.0,1700.305808767764,1700.305808767764,0.0,0.0,0.0,0.0054300506492655385,49.05434782608695,53.4065,False,
25946,I66_WB,110+04164,840,MD,3,0.29,53.4065,37.38455,5700.0,1720.471153403141,1720.471153403141,0.0,0.0,0.0,0.0054300506492655385,48.7804347826087,53.4065,False,
