corridor,tmc_code,n,p85,p95,p99,observed_max,inrix_reference,night_median,corridor_p95,assignment_model,p95_over_observed_max,assignment_over_observed_max
I66_WB,110-58631,2208,71.0,71.9165,73.0,75.06,71.0,69.59,70.93,75.0,0.9581201705302425,0.9992006394884092
I66_WB,110-58632,2208,70.45,71.59,72.9479,74.84,70.0,69.265,70.93,75.0,0.956574024585783,1.0021378941742383
I66_WB,110-58633,2208,70.509,71.4,72.9258,75.53,71.0,68.8,70.93,75.0,0.9453197405004634,0.992982920693764
I66_WB,110-58634,2208,70.66,71.39,72.65509999999999,74.19,71.0,68.92500000000001,70.93,75.0,0.9622590645639575,1.0109179134654267
I66_WB,110N58625,2208,71.0,71.79,73.4686,75.66,71.0,70.28999999999999,70.93,72.0,0.9488501189532118,0.9516256938937352
I66_WB,110N58626,2208,71.06,72.0,73.2586,75.73,72.0,68.57,70.93,75.0,0.9507460715700514,0.9903604912188035
I66_WB,110N58629,2208,71.79,72.46,74.1386,76.39,72.0,70.23,70.93,63.0,0.9485534755858096,0.8247152768687
I66_WB,110N58631,2208,70.8,71.59,73.0,75.06,71.0,69.07499999999999,70.93,75.0,0.9537703170796696,0.9992006394884092
I66_WB,110N58636,2208,66.98949999999999,68.73,71.0,75.0,66.0,66.0,70.93,75.0,0.9164000000000001,1.0
I66_WB,110P04162,2208,49.66,51.45,53.90879999999998,57.82,51.0,43.459999999999994,70.93,63.0,0.8898305084745763,1.089588377723971
I66_WB,110P04164,2208,54.48,55.89,57.99649999999999,61.31,53.0,49.105000000000004,70.93,75.0,0.9115968031316262,1.2232914695808188
I66_WB,110P04165,2208,56.9,58.4465,60.7793,64.05,53.0,51.545,70.93,75.0,0.9125136612021858,1.17096018735363
I66_WB,110P04166,2208,62.0695,63.43,65.76,68.55,59.0,58.105000000000004,70.93,75.0,0.925309992706054,1.0940919037199126
I66_WB,110P04167,2208,63.7095,65.4465,67.51019999999997,70.45,63.0,60.97,70.93,75.0,0.9289779985805535,1.0645848119233499
I66_WB,110P04168,2208,63.6695,65.38,67.79019999999997,71.0,63.0,60.65,70.93,75.0,0.9208450704225352,1.056338028169014
I66_WB,110P04170,2208,63.229,65.239,67.43439999999998,69.59,62.0,60.974999999999994,70.93,75.0,0.9374766489438138,1.0777410547492454
I66_WB,110P04171,2208,62.83,65.0,67.0765,70.23,62.0,60.955,70.93,75.0,0.9255304001139114,1.0679196924391285
I66_WB,110P04173,2208,65.56,66.763,68.5486,72.68,63.0,61.724999999999994,70.93,75.0,0.9185883324160704,1.031920748486516
I66_WB,110P04174,2208,62.949000000000005,64.58,67.2393,71.19,62.0,58.815,70.93,75.0,0.907149880601208,1.053518752633797
I66_WB,110P04175,2208,65.5795,66.7965,68.37859999999999,70.13,65.0,62.86,70.93,75.0,0.9524668472836161,1.0694424639954372
I66_WB,110P04177,2208,64.81949999999999,66.616,68.24579999999999,70.31,63.0,63.8,70.93,75.0,0.9474612430664201,1.066704593941118
I66_WB,110P04178,2208,65.73,67.38,68.49719999999999,70.96,63.0,64.815,70.93,63.0,0.9495490417136415,0.8878241262683203
I66_WB,110P04179,2208,66.87,68.25,69.84649999999999,71.95,64.0,64.54499999999999,70.93,63.0,0.9485753995830437,0.8756080611535788
I66_WB,110P04180,2208,66.19,67.7165,69.0272,71.59,64.0,63.885000000000005,70.93,63.0,0.9458932811845229,0.8800111747450761
I66_WB,110P04181,2208,66.86,68.3265,69.76719999999999,72.36,64.0,64.55,70.93,63.0,0.9442578772802653,0.8706467661691543
I66_WB,110P04182,2208,67.1,68.559,70.34719999999999,73.05,65.0,64.375,70.93,63.0,0.9385215605749486,0.8624229979466119
I66_WB,110P04183,2208,67.279,68.91,70.2586,73.2,65.0,65.33500000000001,70.93,75.0,0.9413934426229508,1.0245901639344261
I66_WB,110P04184,2208,68.15,69.52,70.83,74.46,65.0,65.2,70.93,75.0,0.9336556540424389,1.0072522159548751
I66_WB,110P04185,2208,66.31,67.99,69.7893,71.73,65.0,64.06,70.93,75.0,0.9478600306705701,1.0455876202425762
I66_WB,110P04186,2208,68.23,69.013,69.91579999999999,73.59,66.0,64.49,70.93,75.0,0.9378040494632424,1.019160211985324
I66_WB,110P04187,2208,69.97,70.77,71.67790000000001,74.06,68.0,65.42500000000001,70.93,75.0,0.9555765595463137,1.0126924115581961
