link_id,corridor,tmc_code,lanes,queue_peak_model_veh,queue_peak_meas_veh,peak_ratio,queue_at_AM_MD_boundary_veh,queue_at_MD_PM_boundary_veh,end_of_run_queue_veh,storage_veh,peak_over_storage,bins_over_storage,bins_at_capacity,unmet_demand_veh,residual_rmse_veh,residual_rmse_in_episode_veh,has_queue
26380,I66_WB,110+04166,2,60.812605236085574,76.6336866247264,0.7935492590077737,0.0,0.0,0.0,352.0,0.17276308305706128,0,2,60.812605236085574,4.954543667061604,17.863861238115998,True
26423,I395_NB,110+04126,4,0.0,0.0,,0.0,0.0,0.0,64.0,0.0,0,0,0.0,0.0,,False
26424,I395_NB,110+04127,4,0.0,0.0,,0.0,0.0,0.0,656.0,0.0,0,0,0.0,0.0,,False
26469,I395_NB,110P04130,6,170.05043523180893,178.020759091885,0.9552281211430954,82.33911737427479,145.4917150248716,86.11929584395739,240.0,0.7085434801325372,0,52,257.5806836054139,6.81835024690349,6.81835024690349,True
26471,I395_SB,110N04129,3,0.0,0.0,,0.0,0.0,0.0,84.00000000000001,0.0,0,0,0.0,0.0,,False
26501,I395_NB,110+04130,3,62.93762514530749,66.80635484539062,0.9420903938100426,30.572716305981203,51.051785462801945,33.98195686901977,90.0,0.6993069460589721,0,51,100.73152593971145,3.051884688001143,3.0816598778507283,True
26684,I395_SB,110-04127,3,0.0,0.0,,0.0,0.0,0.0,42.00000000000001,0.0,0,0,0.0,0.0,,False
26699,I395_SB,110N04127,3,14.405512237382709,15.051011881748082,0.9571125417057075,0.0,0.0,3.2746258833856245,60.0,0.24009187062304516,0,15,14.405512237382709,0.6148672238640835,1.1084676516220744,True
26708,I395_NB,110+04125,4,0.0,0.0,,0.0,0.0,0.0,56.00000000000001,0.0,0,0,0.0,0.0,,False
26712,I395_SB,110N04130,6,0.0,0.0,,0.0,0.0,0.0,240.0,0.0,0,0,0.0,0.0,,False
