link_id,corridor,tmc_code,lanes,has_queue,restarted,identifiable_bins,unidentifiable_bins,queue_peak_meas_veh,queue_peak_fitted_veh,residual_rmse_veh,residual_mae_veh,residual_max_veh,lambda_mean_vph,lambda_peak_vph,lambda_over_mu_peak,end_of_day_queue_veh
28289,I395_SB,110-04122,4,True,False,15,81,125.40506476879295,120.87372366641057,5.376817953061465,1.9052967824734992,28.644336538876814,7183.1914182786395,7714.577346155507,1.0304435443749485,0.0
28294,I395_NB,110+04124,4,True,False,17,79,9.515152540692489,9.379868689339219,0.6789223211330394,0.15774716177347894,4.584558740064964,7023.645690975501,7600.016017467969,1.002665260682776,0.0
28298,I395_SB,110N04123,4,True,False,14,82,71.80097102446261,68.70175336326633,1.9104419935750983,0.482130797266648,15.529084879868073,7070.898542379121,7600.001988546011,1.0238767419744792,0.0
28302,I395_SB,110N04123,4,True,False,14,82,50.78605267583941,48.6317684649448,1.338459271992926,0.33511589417426824,10.983986866248156,7117.364063384465,7600.072817752535,1.0168687399688623,0.0
28303,I395_NB,110P04124,4,True,False,11,85,30.191286732127008,30.254496774016843,2.041433916171797,0.3769793316625991,19.002084856927542,7051.797047137675,7600.0724636380155,1.0087760206636378,0.0
28307,I395_SB,110-04123,4,True,False,13,83,36.39833653686567,36.441083216740026,2.0727103946085847,0.4968041507766834,17.573107436895743,7214.30454997072,7603.196425137788,1.0124397669023661,0.0
28312,I395_SB,110N04124,4,True,False,14,82,46.41647477251509,44.71622844961644,2.4493873643136848,0.5224068357384996,22.087426040131383,7172.213247105642,7602.622627531209,1.0168208545100905,0.0
28705,I66_WB,110+04173,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
28712,I395_NB,110+04122,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
28724,I395_NB,110+04122,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
29007,I395_NB,110+04121,4,True,False,52,44,108.85953088491118,107.22008260312396,4.3024483218957155,1.965539492239113,28.21291026705956,6938.085536681433,8000.918991517621,1.0138679249912028,0.0
29361,I395_NB,110P04120,4,True,False,32,64,77.13544635021802,74.5036034404468,2.780874225681247,1.0482181463790916,14.573928963755668,7057.475240727585,7599.999999999251,1.0135780884220191,0.0
30296,I66_WB,110P04174,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
30317,I66_WB,110N58636,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
30949,I66_EB,110+58629,3,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31338,I66_EB,110N04175,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31343,I66_EB,110-04175,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31344,I66_EB,110+58635,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31346,I66_WB,110-58634,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31347,I66_EB,110-04175,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31348,I66_EB,110+58635,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31350,I66_WB,110-58634,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31351,I66_EB,110-04175,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31352,I66_WB,110-58633,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31353,I66_EB,110-04176,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31354,I66_WB,110+04178,4,True,False,25,71,17.639549353174537,17.586532725516463,0.6518327737641708,0.1629598699615311,5.726925447248472,6995.4544441683865,7599.926334173374,1.004634237011049,0.0
31355,I66_WB,110-58633,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31357,I66_EB,110-04177,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31358,I66_WB,110+04178,4,True,False,25,71,162.2838540492058,162.74088035279442,6.200031940564373,1.7628495394600148,52.68771411468594,6667.984102657542,7600.691541090239,1.0364182148929266,0.0
31359,I66_WB,110-58633,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31361,I66_EB,110-04177,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31362,I66_WB,110-58633,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31365,I66_WB,110-58632,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31368,I66_WB,110+04179,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31369,I66_WB,110-58632,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31371,I66_EB,110-04178,4,True,False,43,53,103.88568238359817,103.91752781366858,5.624678054918012,2.5425325280800517,30.593569133325893,7140.7759513580195,8000.53950625709,1.0196930050481317,0.0
31372,I66_WB,110+04179,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31373,I66_WB,110-58632,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31375,I66_EB,110+58633,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31376,I66_WB,110-58631,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31379,I66_WB,110N58631,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31381,I66_WB,110P04180,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31382,I66_EB,110+58632,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31383,I66_WB,110-58630,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31386,I66_WB,110-58629,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31388,I66_WB,110P04182,5,True,False,18,78,77.43334534881656,77.08061448069748,2.4184708086709668,0.4559872267001235,22.70453107257207,8544.098061166156,9500.018313293162,1.018098881452557,0.0
31392,I66_EB,110+58630,5,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31393,I66_EB,110+58631,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31395,I66_EB,110-04180,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31397,I66_WB,110-58630,2,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
31398,I66_WB,110+04181,4,False,False,0,96,0.0,0.0,0.0,0.0,0.0,,,,0.0
