link_id,corridor,episode_id,t0_min,T2_min,t3_min,P_h,period_by_T2,vT2_mph,bins,lanes,free_speed_mph,cutoff_mph,mu_free_vphpl,mu_queued_vphpl,mu_free_vph,mu_queued_vph,capacity_drop
26796,I395_SB,E1,868.71550915,945.0,1142.1737277,4.557636975833334,PM,21.257246376811597,19,4,66.12,46.284,1900.0,1565.431227237086,7600.0,6261.724908948344,0.17608882776995471
26799,I395_SB,E1,897.1820547666666,1005.0,1132.2480757833332,3.9177670169444445,PM,21.192318840579706,16,3,60.8665,42.60655,1900.0,1612.51712078203,5700.0,4837.55136234609,0.15130677853577368
26810,I395_SB,E1,897.1820547666666,1005.0,1132.2480757833332,3.9177670169444445,PM,21.192318840579706,16,4,60.8665,42.60655,1900.0,1612.51712078203,7600.0,6450.06848312812,0.15130677853577368
26814,I395_SB,E1,897.1820547666666,1005.0,1132.2480757833332,3.9177670169444445,PM,21.192318840579706,16,4,60.8665,42.60655,1900.0,1612.51712078203,7600.0,6450.06848312812,0.15130677853577368
26821,I395_SB,E1,897.1820547666666,1005.0,1132.2480757833332,3.9177670169444445,PM,21.192318840579706,16,3,60.8665,42.60655,1900.0,1612.51712078203,5700.0,4837.55136234609,0.15130677853577368
26825,I395_NB,E1,412.73362936666666,510.0,614.02725105,3.354893694722222,AM,18.124347826086957,13,3,55.654,38.9578,1900.0,1725.4779239683464,5700.0,5176.433771905039,0.09185372422718607
26825,I395_NB,E2,829.1875055333334,1050.0,1205.339406,6.269198341111111,PM,13.038405797101447,25,3,55.654,38.9578,1900.0,1499.875000033886,5700.0,4499.625000101658,0.21059210524532324
27878,I395_NB,E1,396.96798856666663,480.0,566.4958567,2.825464468888889,AM,30.273623188405796,11,4,67.18950000000001,47.032650000000004,1900.0,1783.6303802005716,7600.0,7134.521520802286,0.0612471683154886
27878,I395_NB,E2,1022.09105675,1065.0,1112.6943265666666,1.5100544969444445,PM,39.450869565217396,6,4,67.18950000000001,47.032650000000004,1900.0,1875.632623039803,7600.0,7502.530492159212,0.012824935242208846
28025,I395_NB,E1,392.27081019999997,465.0,577.6451711166667,3.0895726819444445,AM,28.04463768115942,12,4,67.2765,47.09354999999999,1900.0,1733.4622165445762,7600.0,6933.848866178305,0.08765146497653886
28270,I395_NB,E1,406.0720350666667,510.0,553.6232510333334,2.459186932777778,AM,36.83115942028986,9,4,67.84649999999999,47.492549999999994,1900.0,1833.1911290249188,7600.0,7332.764516099675,0.03516256367109538
28275,I395_NB,E1,406.0720350666667,510.0,553.6232510333334,2.459186932777778,AM,36.83115942028986,9,4,67.84649999999999,47.492549999999994,1900.0,1833.1911290249188,7600.0,7332.764516099675,0.03516256367109538
28285,I395_NB,E1,393.67053923333333,480.0,574.5157360833333,3.0140866141666662,AM,29.16260869565217,12,4,65.6195,45.93365,1900.0,1789.3703185554884,7600.0,7157.481274221954,0.058226148128690314
28289,I395_SB,E1,893.8110148,945.0,1113.2904004999998,3.657989761666667,PM,33.31202898550723,15,4,65.70649999999999,45.99454999999999,1900.0,1811.600983858284,7600.0,7246.403935433136,0.04652579796932421
28294,I395_NB,E1,396.96798856666663,480.0,566.4958567,2.825464468888889,AM,30.273623188405796,11,4,67.18950000000001,47.032650000000004,1900.0,1783.6303802005716,7600.0,7134.521520802286,0.0612471683154886
28294,I395_NB,E2,1022.09105675,1065.0,1112.6943265666666,1.5100544969444445,PM,39.450869565217396,6,4,67.18950000000001,47.032650000000004,1900.0,1875.632623039803,7600.0,7502.530492159212,0.012824935242208846
28298,I395_SB,E1,897.0344584,945.0,1100.4776240166668,3.3907194269444445,PM,25.7831884057971,14,4,64.6065,45.224549999999994,1900.0,1757.2622813749754,7600.0,7029.0491254999015,0.07512511506580244
28302,I395_SB,E1,897.0344584,945.0,1100.4776240166668,3.3907194269444445,PM,25.7831884057971,14,4,64.6065,45.224549999999994,1900.0,1757.2622813749754,7600.0,7029.0491254999015,0.07512511506580244
28303,I395_NB,E1,400.49127123333335,480.0,563.2780871833334,2.713113599166667,AM,36.026811594202904,11,4,67.23,47.061,1900.0,1854.0659847679224,7600.0,7416.2639390716895,0.024175797490567197
28307,I395_SB,E1,903.4473665,945.0,1107.2064339166668,3.395984456944445,PM,29.72869565217391,13,4,62.59,43.813,1900.0,1857.7608973203692,7600.0,7431.043589281477,0.02223110667348993
