link_id,corridor,tmc_code,source,episode_id,t0_min,T2_min,t3_min,P_h,vT2_mph,period_by_T2,onset_to_T2_h,T2_to_recovery_h,free_speed_mph,cutoff_mph
28294,I395_NB,110+04124,model,E1,417.46411946666666,495.0,556.56130995,2.3182865080555555,29.704499736675093,AM,1.2922646755555556,1.0260218325000001,67.18950000000001,47.032650000000004
28294,I395_NB,110+04124,model,E2,1046.5360585166666,1065.0,1109.3330715666666,1.0466168841666668,37.6231605523622,PM,0.30773235805555554,0.7388845261111111,67.18950000000001,47.032650000000004
28298,I395_SB,110N04123,model,E1,909.2841532333333,945.0,1089.7097959666667,3.0070940455555557,25.434107322585024,PM,0.5952641127777777,2.4118299327777777,64.6065,45.224549999999994
28302,I395_SB,110N04123,model,E1,909.2897367500001,945.0,1090.0008120833334,3.0118512555555554,25.422102770260334,PM,0.5951710541666667,2.416680201388889,64.6065,45.224549999999994
28303,I395_NB,110P04124,model,E1,418.95743684999997,495.0,555.8282004333333,2.2811793930555555,35.671068453009205,AM,1.2673760525,1.0138033405555555,67.23,47.061
28307,I395_SB,110-04123,model,E1,925.2795672166667,960.0,1095.3947652333334,2.8352533002777776,28.09573804791023,PM,0.5786738797222222,2.2565794205555556,62.59,43.813
28312,I395_SB,110N04124,model,E1,924.8310256166666,960.0,1110.0894434666666,3.0876402975,27.91192409294576,PM,0.5861495730555555,2.5014907244444444,62.2265,43.55855
29007,I395_NB,110+04121,model,E1,403.04273383333333,1035.0,1440.0,17.282621102777778,20.491513965268982,PM,10.532621102777778,6.75,65.333,45.73309999999999
29361,I395_NB,110P04120,model,E1,431.44134564999996,495.0,612.9992947833333,3.025965818888889,15.941810403166967,AM,1.0593109058333332,1.9666549130555555,65.65,45.955
29361,I395_NB,110P04120,model,E2,913.2886497666666,1035.0,1440.0,8.77852250388889,17.59840883997926,PM,2.028522503888889,6.75,65.65,45.955
31354,I66_WB,110+04178,model,E1,820.2358760833333,1065.0,1440.0,10.329402065277778,24.54621439275836,PM,4.079402065277778,6.25,67.7165,47.40154999999999
