link_id,corridor,tmc_code,variant,mae_period_mph,rmse_period_mph,mae_episode_mph,bias_episode_mph,episode_bins
31412,I66_WB,110-58628,anchored,9.413891304347825,9.574913684009802,,,0
31413,I66_EB,110-04182,free_flow,6.399114130434785,6.43091621490945,,,0
31413,I66_EB,110-04182,assignment,6.399114130434785,6.43091621490945,,,0
31413,I66_EB,110-04182,anchored,6.399114130434785,6.43091621490945,,,0
31414,I66_WB,110P04183,free_flow,47.37285326086956,47.51351606887577,47.37285326086956,48.69826086956522,16
31414,I66_WB,110P04183,assignment,47.37285326086956,47.51351606887577,47.37285326086956,48.69826086956522,16
31414,I66_WB,110P04183,anchored,0.5202743508883374,0.6311984553501343,0.5202743508883374,0.07576356255199457,16
31415,I66_EB,110N04183,free_flow,5.713157608695651,5.741272457787238,,,0
31415,I66_EB,110N04183,assignment,5.713157608695651,5.741272457787238,,,0
31415,I66_EB,110N04183,anchored,5.713157608695651,5.741272457787238,,,0
31416,I66_WB,110+04184,free_flow,30.988125000000007,31.649205624637805,31.72211594202899,31.116956521739134,15
31416,I66_WB,110+04184,assignment,30.988125000000007,31.649205624637805,31.72211594202899,31.116956521739134,15
31416,I66_WB,110+04184,anchored,3.273308664874513,7.348869455285314,2.1596451845617985,0.1425332307611029,15
31417,I66_WB,110-58628,free_flow,9.413891304347825,9.574913684009802,,,0
31417,I66_WB,110-58628,assignment,9.413891304347825,9.574913684009802,,,0
31417,I66_WB,110-58628,anchored,9.413891304347825,9.574913684009802,,,0
31418,I66_WB,110+04184,free_flow,30.988125000000007,31.649205624637805,31.72211594202899,31.116956521739134,15
31418,I66_WB,110+04184,assignment,30.988125000000007,31.649205624637805,31.72211594202899,31.116956521739134,15
31418,I66_WB,110+04184,anchored,3.525599174166749,7.430633508169247,2.4287550611401842,-0.2363735685072328,15
31419,I66_EB,110-04183,free_flow,5.68329347826087,5.927403956897317,,,0
31419,I66_EB,110-04183,assignment,5.68329347826087,5.927403956897317,,,0
31419,I66_EB,110-04183,anchored,5.68329347826087,5.927403956897317,,,0
31420,I66_EB,110+58629,free_flow,2.5581249999999995,2.6937071590109074,,,0
31420,I66_EB,110+58629,assignment,2.5581249999999995,2.6937071590109074,,,0
31420,I66_EB,110+58629,anchored,2.5581249999999995,2.6937071590109074,,,0
31421,I66_EB,110+58629,free_flow,2.5581249999999995,2.6937071590109074,,,0
31421,I66_EB,110+58629,assignment,2.5581249999999995,2.6937071590109074,,,0
