link_id,corridor,tmc_code,lanes,V_assign_veh,lower_bound_veh,upper_bound_veh,window_width_veh,inside_window,below_lower,above_upper,V_over_lower,V_over_upper,queued_bins_in_pm,pinned_by_queue_veh,absorbed_by_free_bins_veh,share_pinned,mu_free_vph,bins_pushed_over_mu,V_assign_over_capacity_h
28302,I395_SB,110N04123,4,27987.4395,24676.05200399326,28476.05200399326,3800.0,True,False,False,1.1341943798574774,0.9828412834783158,14,24602.874833118083,3384.564666881917,0.8790684418672199,7600.0,0,14.730231315789474
28303,I395_NB,110P04124,4,19022.3262,0.0,30400.0,30400.0,True,False,False,,0.6257344144736842,0,0.0,19022.3262,0.0,7600.0,0,10.011750631578947
28307,I395_SB,110-04123,4,27987.4395,23761.708198520228,29461.708198520228,5700.0,True,False,False,1.1778378585485252,0.9499598363887714,13,24151.856450275696,3835.583049724304,0.8629534134509053,7600.0,0,14.730231315789474
28312,I395_SB,110N04124,4,27161.132,25395.743499457076,29195.743499457076,3800.0,True,False,False,1.0695151335333288,0.9303113654394549,14,25554.04512052981,1607.0868794701928,0.9408313733216203,7600.0,0,14.295332631578948
28705,I66_WB,110+04173,4,13422.6055,0.0,32000.0,32000.0,True,False,False,,0.419456421875,0,0.0,13422.6055,0.0,8000.0,0,6.71130275
28712,I395_NB,110+04122,4,17263.9179,0.0,30400.0,30400.0,True,False,False,,0.5678920361842106,0,0.0,17263.9179,0.0,7600.0,0,9.08627257894737
28724,I395_NB,110+04122,3,17263.9179,0.0,22800.0,22800.0,True,False,False,,0.7571893815789474,0,0.0,17263.9179,0.0,5700.0,0,9.08627257894737
29007,I395_NB,110+04121,4,18299.0187,26766.259004727806,26766.259004727806,0.0,False,True,False,0.6836599278504997,0.6836599278504997,16,29766.747456696685,-11467.728756696684,1.6266854493512641,8000.0,0,9.14950935
29361,I395_NB,110P04120,4,35436.8876,26203.409176788628,26203.409176788628,0.0,False,False,True,1.3523769888458075,1.3523769888458075,16,27284.01418476371,8152.873415236292,0.769932576831711,7600.0,0,18.65099347368421
30296,I66_WB,110P04174,2,7484.5323,0.0,16000.0,16000.0,True,False,False,,0.46778326875,0,0.0,7484.5323,0.0,4000.0,0,3.74226615
30317,I66_WB,110N58636,2,4908.8713,0.0,16000.0,16000.0,True,False,False,,0.30680445624999997,0,0.0,4908.8713,0.0,4000.0,0,2.4544356499999997
30949,I66_EB,110+58629,3,10649.5931,0.0,24000.0,24000.0,True,False,False,,0.44373304583333334,0,0.0,10649.5931,0.0,6000.0,0,5.32479655
31338,I66_EB,110N04175,2,3646.0457,0.0,16000.0,16000.0,True,False,False,,0.22787785625,0,0.0,3646.0457,0.0,4000.0,0,1.82302285
31343,I66_EB,110-04175,2,7453.8029,0.0,16000.0,16000.0,True,False,False,,0.46586268124999997,0,0.0,7453.8029,0.0,4000.0,0,3.7269014499999997
31344,I66_EB,110+58635,4,15106.4678,0.0,30400.0,30400.0,True,False,False,,0.49692328289473686,0,0.0,15106.4678,0.0,7600.0,0,7.95077252631579
31346,I66_WB,110-58634,2,2299.1059,0.0,16000.0,16000.0,True,False,False,,0.14369411875,0,0.0,2299.1059,0.0,4000.0,0,1.14955295
31347,I66_EB,110-04175,2,7453.8029,0.0,16000.0,16000.0,True,False,False,,0.46586268124999997,0,0.0,7453.8029,0.0,4000.0,0,3.7269014499999997
31348,I66_EB,110+58635,4,15106.4678,0.0,30400.0,30400.0,True,False,False,,0.49692328289473686,0,0.0,15106.4678,0.0,7600.0,0,7.95077252631579
31350,I66_WB,110-58634,2,2299.1059,0.0,16000.0,16000.0,True,False,False,,0.14369411875,0,0.0,2299.1059,0.0,4000.0,0,1.14955295
31351,I66_EB,110-04175,2,5830.4727,0.0,16000.0,16000.0,True,False,False,,0.36440454375000003,0,0.0,5830.4727,0.0,4000.0,0,2.9152363500000003
