link_id,corridor,P_h_obs,T2_min_obs,vT2_mph_obs,t0_min_obs,t3_min_obs,P_h_model,T2_min_model,vT2_mph_model,t0_min_model,t3_min_model,P_h_err,T2_min_err,vT2_mph_err,t0_min_err,t3_min_err,inside_window,below_lower,above_upper,right_censored
26825,I395_NB,6.269198341111111,1050.0,13.038405797101449,829.1875055333334,1205.339406,9.8448443975,1050.0,13.409555519980284,849.3093361499999,1440.0,,0.0,0.37114972287883496,20.121830616666557,,False,True,False,True
27878,I395_NB,1.5100544969444445,1065.0,39.4508695652174,1022.09105675,1112.6943265666666,0.5979607722222223,1065.0,42.87173447921059,1049.061978166667,1084.9396245,-0.9120937247222222,0.0,3.420864913993185,26.970921416666897,-27.754702066666596,True,False,False,False
28289,I395_SB,3.657989761666667,945.0,33.31202898550723,893.8110148,1113.2904004999998,2.5740293686111118,945.0,39.27704204364603,914.4883082333332,1068.93007035,-1.083960393055555,0.0,5.965013058138794,20.67729343333326,-44.360330149999754,True,False,False,False
28294,I395_NB,1.5100544969444445,1065.0,39.4508695652174,1022.09105675,1112.6943265666666,1.0466168841666668,1065.0,37.6231605523622,1046.5360585166666,1109.3330715666666,-0.46343761277777773,0.0,-1.8277090128552018,24.445001766666564,-3.3612550000000283,True,False,False,False
28298,I395_SB,3.3907194269444445,945.0,25.7831884057971,897.0344584,1100.4776240166668,3.007094045555556,945.0,25.434107322585024,909.2841532333332,1089.709795966667,-0.38362538138888835,0.0,-0.3490810832120772,12.249694833333251,-10.767828049999935,True,False,False,False
28302,I395_SB,3.3907194269444445,945.0,25.7831884057971,897.0344584,1100.4776240166668,3.0118512555555554,945.0,25.42210277026033,909.28973675,1090.0008120833334,-0.37886817138888906,0.0,-0.36108563553677087,12.255278350000026,-10.476811933333465,True,False,False,False
28307,I395_SB,3.395984456944445,945.0,29.72869565217391,903.4473665,1107.2064339166668,2.8352533002777776,960.0,28.09573804791023,925.2795672166668,1095.3947652333334,-0.5607311566666673,15.0,-1.6329576042636802,21.83220071666676,-11.811668683333437,True,False,False,False
28312,I395_SB,3.563430022222222,945.0,29.326666666666668,901.2669475333332,1115.0727488666666,3.0876402975,960.0,27.91192409294576,924.8310256166666,1110.0894434666666,-0.47578972472222203,15.0,-1.4147425737209076,23.564078083333357,-4.983305400000063,True,False,False,False
29007,I395_NB,13.125908960555556,1050.0,20.55,380.9472474166667,1168.50178505,17.282621102777778,1035.0,20.491513965268982,403.0427338333333,1440.0,,-15.0,-0.05848603473101832,22.095486416666574,,False,True,False,True
29361,I395_NB,4.191310733333333,1050.0,18.105652173913043,889.1827372833334,1140.6613812833334,8.77852250388889,1035.0,17.59840883997926,913.2886497666666,1440.0,,-15.0,-0.5072433339337827,24.105912483333213,,False,False,True,True
31354,I66_WB,6.387460837222222,1065.0,24.70275362318841,795.5562686666667,1178.8039189,10.329402065277778,1065.0,24.54621439275836,820.2358760833333,1440.0,,0.0,-0.15653923043005236,24.679607416666613,,False,True,False,True
31358,I66_WB,6.387460837222222,1065.0,24.70275362318841,795.5562686666667,1178.8039189,10.313083035,1065.0,24.45517622197869,821.2150179,1440.0,,0.0,-0.24757740120972116,25.65874923333331,,False,True,False,True
31388,I66_WB,4.608973056111111,1005.0,22.91724637681158,873.7586626333334,1150.297046,9.09521541611111,1020.0,22.65790233763873,894.2870750333333,1440.0,,15.0,-0.25934403917284854,20.528412399999866,,False,True,False,True
31404,I66_WB,5.349105688611112,1035.0,15.38,845.5032459666667,1166.4495872833334,9.605786678333336,1035.0,15.29193418120919,863.6527993,1440.0,,0.0,-0.08806581879081143,18.1495533333333,,False,True,False,True
31406,I66_WB,5.349105688611112,1035.0,15.38,845.5032459666667,1166.4495872833334,9.605786678333336,1035.0,15.291934195216111,863.6527993,1440.0,,0.0,-0.08806580478388959,18.1495533333333,,False,True,False,True
31411,I66_WB,5.349105688611112,1035.0,15.38,845.5032459666667,1166.4495872833334,9.605786678055557,1035.0,15.291934188000454,863.6527993166667,1440.0,,0.0,-0.088065811999547,18.14955335000002,,False,True,False,True
31414,I66_WB,5.3600751819444445,1065.0,17.415797101449275,848.8839540499999,1170.4884649666667,9.586667995277775,1065.0,17.498838546086333,864.7999202833333,1440.0,,0.0,0.08304144463705754,15.915966233333393,,False,True,False,True
31416,I66_WB,4.259359619166667,1080.0,28.853478260869565,907.3498532166668,1162.9114303666668,8.527720389722223,1080.0,29.015162308448364,928.3367766166666,1440.0,,0.0,0.16168404757879884,20.986923399999796,,False,True,False,True
31418,I66_WB,4.259359619166667,1080.0,28.853478260869565,907.3498532166668,1162.9114303666668,8.49203963638889,1080.0,28.964898938872924,930.4776218166668,1440.0,,0.0,0.11142067800335909,23.127768599999968,,False,True,False,True
31423,I66_WB,4.259359619166667,1080.0,28.853478260869565,907.3498532166668,1162.9114303666668,8.38396365388889,1080.0,31.16366510708432,936.9621807666666,1440.0,,0.0,2.310186846214755,29.612327549999804,,False,True,False,True
31426,I66_WB,4.259359619166667,1080.0,28.853478260869565,907.3498532166668,1162.9114303666668,8.501563797222222,1080.0,28.97683239250084,929.9061721666666,1440.0,,0.0,0.12335413163127384,22.556318949999763,,False,True,False,True
31804,I66_EB,5.180431173055555,1050.0,29.38826086956522,820.2718197166666,1131.0976901,2.1110203669444445,1050.0,29.920857129021183,994.5887959,1121.2500179166666,-3.0694108061111107,0.0,0.5325962594559641,174.3169761833334,-9.847672183333316,False,True,False,False
32029,I66_WB,6.387460837222222,1065.0,24.70275362318841,795.5562686666667,1178.8039189,10.32940206611111,1065.0,24.546214389479157,820.2358760333334,1440.0,,0.0,-0.15653923370925327,24.679607366666687,,False,True,False,True
32031,I66_WB,6.020231510833335,1080.0,33.48985507246376,811.2765456833333,1172.4904363333333,8.721946288333333,1065.0,38.48070196014591,916.6832227,1440.0,,-15.0,4.990846887682146,105.40667701666666,,False,True,False,True
