corridor,link_id,period,bins,bins_below_cutoff,free_speed_mph,capacity_vph,D_counts,D_speed,V_counts,V_speed,V_err,D_err
D12_I5_N,L5N-111,NT,132,0,66.57693298969075,7533.983626943005,0.0,0.0,24523.39581218952,38496.401430619,56.978265675115445,
D12_I5_N,L5N-114,AM,36,0,66.65208716147643,5825.919015544041,0.0,0.0,15390.121761658029,12562.257725032012,-18.374539723728358,
D12_I5_N,L5N-114,MD,72,0,66.65208716147643,5825.919015544041,0.0,0.0,30367.976683937828,29304.00627209065,-3.503593350721754,
D12_I5_N,L5N-114,PM,48,0,66.65208716147643,5825.919015544041,0.0,0.0,18931.911917098445,17905.04715946934,-5.423988671221772,
D12_I5_N,L5N-114,NT,132,0,66.65208716147643,5825.919015544041,0.0,0.0,19883.02494524865,25691.72818740169,29.21438391868597,
D12_I5_N,L5N-115,AM,36,0,66.75062176165805,5373.582124352331,0.0,0.0,14112.479274611398,9976.127479170504,-29.309887475847457,
D12_I5_N,L5N-115,MD,72,0,66.75062176165805,5373.582124352331,0.0,0.0,29639.603626943004,25232.822332882137,-14.867882005193259,
D12_I5_N,L5N-115,PM,48,0,66.75062176165805,5373.582124352331,0.0,0.0,19105.386010362694,15496.418906665975,-18.88978899321494,
D12_I5_N,L5N-115,NT,132,0,66.75062176165805,5373.582124352331,0.0,0.0,19629.92432295283,22152.0925314418,12.848588547740118,
D12_I5_N,L5N-116,AM,36,0,71.56404639175257,6972.004663212435,0.0,0.0,18268.83419689119,15465.423055157728,-15.345320404793632,
D12_I5_N,L5N-116,MD,72,0,71.56404639175257,6972.004663212435,0.0,0.0,38036.87046632124,38734.59432067633,1.8343355954398863,
D12_I5_N,L5N-116,PM,48,0,71.56404639175257,6972.004663212435,0.0,0.0,24385.196891191707,23148.82121704599,-5.070189425422746,
D12_I5_N,L5N-116,NT,132,0,71.56404639175257,6972.004663212435,0.0,0.0,23135.00859996795,38715.14880689597,67.3444323117719,
D12_I5_N,L5N-117,AM,36,0,67.42484382511618,5058.384870466321,0.0,0.0,13439.103626943004,10579.936371729684,-21.2749848098589,
D12_I5_N,L5N-117,MD,72,0,67.42484382511618,5058.384870466321,0.0,0.0,28489.41968911917,26827.98432864283,-5.831762733696138,
D12_I5_N,L5N-117,PM,48,0,67.42484382511618,5058.384870466321,0.0,0.0,18363.31865284974,15884.120602786446,-13.500817019686986,
