timestamp_la,time_bin,period,episode_id,observed_speed_mph,smoothed_speed_mph,baseline_free_speed_mph,observed_arrival_vph,count_reference_lambda_vph,inferred_lambda_vph,reference_mu_vph,observed_discharge_vph,speed_delay_diagnostic_queue_veh,cumulative_count_gap_veh,count_queue_raw_veh,count_queue_drift_corrected_veh,count_reference_queue_veh,forward_queue_veh,forward_outflow_vph,reconstructed_speed_mph,upstream_pct_observed,ramp_pct_observed,downstream_pct_observed
2025-07-29 09:20:00-07:00,112,MD,1,17.8,17.8,62.33603684835839,6612.534127542865,6597.984226813194,7702.985495036457,7320.0,7320.0,270.30309035374813,-363.69836754286047,292.29510994285835,255.31411225494588,255.31411225494588,270.3030903537481,7320.0,17.800000000000004,100.0,100.0,100.0
2025-07-29 09:25:00-07:00,113,MD,1,14.4,14.4,62.2705899373535,7327.038429257139,7312.488528527469,6488.809356788648,6456.0,5664.0,302.2185482734529,-422.65385691428844,233.33962057143037,195.14613115604539,195.14613115604539,302.2185482734528,6456.0,14.938386746438193,100.0,100.0,100.0
2025-07-29 09:30:00-07:00,114,MD,1,13.9,13.9,62.20711308823019,6208.762938514293,6194.213037784622,5847.190643211352,5880.0,6456.0,304.9526613391736,-284.06732114286024,371.9261563428586,332.52017520000106,332.52017520000106,304.9526613391735,5880.0,13.803029239801589,80.0,100.0,100.0
2025-07-29 09:35:00-07:00,115,MD,1,13.8,13.8,62.145633517463246,5394.641164800002,5380.091264070332,5912.809356788648,5880.0,5880.0,302.2185482734529,-304.67040960000253,351.3230678857163,310.70459501538613,310.70459501538613,302.2185482734528,5880.0,13.896928052640527,80.0,100.0,100.0
2025-07-29 09:40:00-07:00,116,MD,1,13.5,13.5,62.08617744636005,5282.396911542858,5267.847010813188,6042.579756414185,5520.0,5520.0,304.9526613391736,-345.11697920000233,310.8764982857165,269.0455336879138,269.0455336879138,304.9526613391735,5520.0,13.131002575745333,80.0,100.0,100.0
2025-07-29 09:45:00-07:00,117,MD,1,11.8,11.8,62.02877010106054,5201.725215085714,5187.175314356044,5563.263569017299,5520.0,5520.0,348.50097437368896,-364.9172365714308,291.076240914288,248.0327845890128,248.0327845890128,348.5009743736889,5520.0,11.800000000000004,80.0,100.0,100.0
2025-07-29 09:50:00-07:00,118,MD,1,11.7,11.7,61.97343571253723,5725.847341714285,5711.297440984615,6046.907811127496,5520.0,5376.0,352.10627179179727,-391.440135314288,264.5533421714308,220.2973941186831,220.2973941186831,352.10627179179716,5520.0,11.700000000000003,100.0,100.0,100.0
2025-07-29 09:55:00-07:00,119,MD,1,10.2,10.7,61.92019751659524,5668.992455314285,5654.442554584614,5670.295430113695,5568.0,5568.0,396.01525605242193,-362.2861901714309,293.7072873142879,248.23884753406765,248.23884753406765,396.0152560524218,5568.0,10.700000000000003,80.0,100.0,100.0
2025-07-29 10:00:00-07:00,120,MD,1,10.7,10.7,61.86907775387221,6298.7176703999985,6284.167769670328,6312.0,6312.0,6312.0,404.5398752285632,-353.8701522285739,302.1233252571449,255.44239374945215,255.44239374945215,404.53987522856306,6312.0,11.651358131428557,100.0,100.0,100.0
2025-07-29 10:05:00-07:00,121,MD,1,11.9,11.9,61.820097669838425,6459.145113599998,6444.5952128703275,4871.15196031483,6480.0,6480.0,404.5398752285632,-354.977013028574,301.0164644571448,253.12304122197952,253.12304122197952,404.53987522856306,6480.0,11.900000000000002,80.0,100.0,100.0
