link_id,date,period,bins,bins_below_cutoff,bins_below_unfiltered,cutoff_mph,capacity_vph,D_counts,D_speed,D_counts_unfiltered,D_speed_unfiltered,V_counts,V_speed
L405S-020,2025-06-20,NT,60,0,0,50.33,9184.980000000003,0.0,0.0,0.0,0.0,7564.0,23583.033411797514
L405S-023,2025-06-19,PM,24,0,0,50.0255,8491.8,0.0,0.0,0.0,0.0,3106.0,9964.97029161649
L405S-023,2025-06-19,NT,60,0,0,50.0255,8491.8,0.0,0.0,0.0,0.0,13732.0,19830.790167068306
L405S-023,2025-06-20,AM,36,0,0,50.0255,8491.8,0.0,0.0,0.0,0.0,21751.0,18659.589343917418
L405S-023,2025-06-20,MD,72,0,0,50.0255,8491.8,0.0,0.0,0.0,0.0,34594.0,34594.98242294458
L405S-023,2025-06-20,PM,24,0,0,50.0255,8491.8,0.0,0.0,0.0,0.0,4813.0,6803.315529046922
L405S-024,2025-06-16,AM,36,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,19989.0,19693.07296014092
L405S-024,2025-06-16,MD,72,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,31958.0,34061.40832967515
L405S-024,2025-06-16,PM,48,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,5926.0,19130.776809231025
L405S-024,2025-06-16,NT,60,0,5,50.19,8817.66,0.0,0.0,3524.0,2898.346836027993,15483.0,22325.63923917989
L405S-024,2025-06-17,AM,36,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,20472.0,18031.04088855345
L405S-024,2025-06-17,MD,72,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,33285.0,26952.019628572743
L405S-024,2025-06-17,PM,48,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,6028.0,14476.441205469584
L405S-024,2025-06-17,NT,60,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,15428.0,21555.773944125747
L405S-024,2025-06-18,AM,36,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,20783.0,18296.88163710634
L405S-024,2025-06-18,MD,72,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,35745.0,30630.714442798828
L405S-024,2025-06-18,PM,48,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,7059.0,16996.098742852686
L405S-024,2025-06-18,NT,60,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,14211.0,19952.805259304976
L405S-024,2025-06-19,AM,36,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,21887.0,18431.865228655686
L405S-024,2025-06-19,MD,72,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,33324.0,24188.734272811747
L405S-024,2025-06-19,PM,48,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,9027.0,14704.680101430113
L405S-024,2025-06-19,NT,60,0,0,50.19,8817.66,0.0,0.0,0.0,0.0,13963.0,20945.397650884435
