corridor,link_id,period,period_hours,lanes,length_mi,capacity_vphpl,capacity_vph,cutoff_mph,free_speed_mph,f_d,n,f_p,s,minimum_speed_mph,volume_V_speed_derived_veh,demand_D_speed_derived_vph,k_d_speed_derived,P_h,t0_min,T2_min,t3_min,vT2_mph,episode_identified,x_hat_D_over_C,demand_D_inferred_vph,volume_V_inferred_veh,z_predicted,vT2_predicted_mph,z_from_speed,demand_D_delta,demand_D_ape_pct,volume_V_delta,volume_V_ape_pct,period_hours_q,capacity_vph_q,demand_D_queue_vph,volume_V_queue_veh,queue_max_veh,queue_at_period_end_veh,d_over_c_queue,D_ratio_qvdf_over_queue
I-395 NB,11,AM,5.0,1,0.095,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,37.87,10226.1,2158.4,1.0553387899590263,1.75,465.0,510.0,570.0,37.87,True,1.6056516506263308,3532.433631377928,16736.01721545303,0.0992895770901394,44.57424232994624,0.2939001848428837,1374.0336313779276,63.65982354419605,6509.917215453032,63.65982354419605,5.0,2200.0,1981.2259422228917,9900.307790404804,2.2798494850805398,0.9039224349533627,0.9005572464649508,1.7829534512427268
I-395 NB,12,AM,5.0,1,0.162,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,14.04,8463.9,2104.7,1.2433393589243729,5.0,300.0,495.0,600.0,14.04,True,4.539671395604868,9987.27707033071,40163.11797195425,3.4413009525883305,11.032803343678715,2.4900284900284904,7882.577070330711,374.5225956350412,31699.217971954247,374.5225956350412,5.0,2200.0,1988.7925083321259,9904.958354306806,18.263868131868133,7.903506422732581,0.9039965946964208,5.021779310053017
I-395 NB,13,AM,5.0,1,0.139,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,15.36,8905.5,2125.4,1.1933075065970469,4.5,330.0,510.0,600.0,15.36,True,4.09001081703371,8998.023797474163,37702.03299539199,2.410937110014352,14.365553635139824,2.190104166666667,6872.623797474163,323.35672332145305,28796.532995391997,323.356723321453,5.0,2200.0,1987.692819361068,9902.38053827955,13.986254464285715,4.340603117351539,0.9034967360732127,4.526868392253148
I-395 NB,14,AM,5.0,1,0.932,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,49.03,10593.8,2180.2,1.0289980932243386,,,,,,False,,,,,,,,,,,5.0,2200.0,1983.037582371711,9903.17349844007,11.275079164360012,7.634766607011264,0.9013807192598687,
I-395 NB,15,AM,5.0,1,0.197,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,19.7,9379.3,2128.6,1.1347328691906644,4.0,360.0,510.0,600.0,19.7,True,3.6398493480638137,8007.6685657403905,35284.37742114481,1.619677196436726,18.704594622058625,1.487309644670051,5879.06856574039,276.19414477780657,25905.077421144808,276.1941447778065,5.0,2200.0,1989.017105738274,9901.893232518882,14.227714285714285,3.892892640482545,0.9040986844264882,4.025942533444498
I-395 NB,16,AM,5.0,1,0.601,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,50.07,10021.0,2133.9,1.064714100389183,,,,,,False,,,,,,,,,,,5.0,2200.0,1983.6282778131074,9902.449790003118,6.766612856286912,3.152360227410185,0.9016492171877761,
I-395 NB,17,AM,5.0,1,0.392,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,43.24,10478.7,2157.2,1.0293261568706042,2.0,420.0,465.0,540.0,43.24,True,1.832581993653353,4031.6803860373766,19584.07623825786,0.1558690410137654,42.3923457254501,0.133209990749306,1874.4803860373768,86.89413990531138,9105.376238257862,86.89413990531138,5.0,2200.0,1982.82389848171,9902.082246471766,6.8620462534690105,3.3468149525757864,0.9012835902189591,2.0333022963484146
I-395 NB,18,AM,5.0,1,0.596,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,29.57,10020.9,2131.8,1.0636769152471337,3.25,390.0,480.0,585.0,29.57,True,2.9635240458126657,6519.752900787865,30647.24263228498,0.8032947601450787,27.172485099473064,0.657084883327697,4387.952900787865,205.8332348619882,20626.342632284977,205.8332348619882,5.0,2200.0,1991.678196595089,9903.550740584638,23.049729165660175,5.993766958061303,0.9053082711795859,3.27349715025943
I-395 NB,19,AM,5.0,1,0.704,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,36.39,10118.7,2125.8,1.050431379525038,2.75,405.0,480.0,570.0,36.39,True,2.511789398723859,5525.93667719249,26303.17784152208,0.4569298875122635,33.63236654007316,0.3465237702665567,3400.136677192489,159.94621682154903,16184.47784152208,159.94621682154903,5.0,2200.0,1989.0908849326106,9903.498425873197,18.391885996937937,5.2842541059807875,0.904132220423914,2.7781217635913635
I-395 NB,20,AM,5.0,1,0.648,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,39.73,10389.0,2151.8,1.035614592357301,3.5,390.0,450.0,600.0,39.73,True,3.1891233974742077,7016.071474443256,33873.95043590993,1.031744744246825,24.117202782854733,0.2333249433677322,4864.271474443256,226.05592873144604,23484.95043590993,226.05592873144604,5.0,2200.0,1987.1698513325125,9907.682856350671,13.964841537521124,10.157535650850038,0.9032590233329603,3.530685346166345
I-395 NB,21,AM,5.0,1,0.586,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,37.4,9688.500000000002,2068.5,1.0675027093977394,2.5,405.0,510.0,555.0,37.4,True,2.2856220851871405,5028.368587411709,23552.01791594796,0.3311723351416926,36.80965920523306,0.3101604278074867,2959.868587411709,143.09251087317907,13863.517915947954,143.09251087317904,5.0,2200.0,1987.9491466044208,9902.480800579853,14.448100840336132,3.550850700037171,0.9036132484565549,2.529425159592524
I-395 NB,22,AM,5.0,1,1.621,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,16.28,9124.7,2114.6,1.1587230265104604,3.5,390.0,495.0,600.0,16.28,True,3.1891233974742077,7016.071474443256,30275.015313937573,1.031744744246825,24.117202782854733,2.0098280098280097,4901.471474443257,231.7918979685641,21150.31531393757,231.7918979685641,5.0,2200.0,2087.1385362210603,9926.765636636143,151.29750579150576,44.840577967948974,0.9486993346459365,3.3615744008763513
I-395 NB,23,AM,5.0,1,0.32,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,26.49,9894.9,2143.7000000000003,1.0832347977240802,3.25,405.0,510.0,600.0,26.49,True,2.9635240458126657,6519.752900787865,30093.90445398416,0.8032947601450787,27.172485099473064,0.849754624386561,4376.052900787865,204.1355087366639,20199.00445398416,204.1355087366639,5.0,2200.0,1988.746046003046,9901.939626440151,14.867031224720922,4.5978605280974945,0.90397547545593,3.2783235013294796
I-395 NB,1,PM,6.0,1,0.135,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,13.35,9190.7,1772.1999999999998,1.1569521363987507,6.0,840.0,1050.0,1200.0,13.35,True,5.634572698594669,12396.059936908272,64286.46205966757,0.9487057128019806,25.14489472581496,2.6704119850187267,10623.859936908271,599.4729678878385,55095.76205966757,599.4729678878384,6.0,2200.0,1985.5896737581302,11879.315925247487,16.203900481540934,3.510740334521525,0.9025407607991501,6.243011887469288
I-395 NB,2,PM,6.0,1,0.024,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,25.98,11207.8,2079.4,1.1131890290690414,6.0,840.0,1050.0,1200.0,25.98,True,5.634572698594669,12396.059936908272,66813.7734735407,0.9487057128019806,25.14489472581496,0.8860662047729022,10316.659936908272,496.1363824616847,55605.9734735407,496.1363824616847,6.0,2200.0,1980.3580500105518,11880.002303654566,1.1502421643022105,0.40311007025761125,0.9001627500047963,6.259504404691981
I-395 NB,3,PM,6.0,1,0.924,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,42.93,12023.6,2057.0,1.0264812535347152,1.25,1035.0,1080.0,1110.0,42.93,True,1.0527824814875946,2316.121459272708,13538.219726646244,0.15660083693649,42.36552355416516,0.1413929652923364,259.12145927270785,12.597056843592991,1514.619726646246,12.597056843592986,6.0,2200.0,1985.32487238063,11879.966473507593,16.480352201257862,3.9696442323514898,0.9024203965366501,1.166620884820435
I-395 NB,4,PM,6.0,1,1.151,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,47.7,12781.1,2164.2,1.0159688915664535,1.0,1035.0,1050.0,1095.0,47.7,True,0.8292828058328483,1824.4221728322664,10774.476588663932,0.1212,43.70317516946129,0.0272536687631026,-339.77782716773345,15.699927325003856,-2006.623411336068,15.699927325003856,6.0,2200.0,1984.190299083299,11879.56555026619,15.220501347708888,6.4000659340659345,0.9019046814014995,0.9194794338401685
I-395 NB,5,PM,6.0,1,0.273,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,20.72,11179.2,2098.2,1.1261270931730356,5.5,840.0,1050.0,1170.0,20.72,True,5.133927549220108,11294.640608284237,60177.79348400112,0.8584897859920154,26.36549329962824,1.364864864864865,9196.440608284236,438.3014301917947,48998.59348400112,438.3014301917948,6.0,2200.0,1986.1303129329024,11878.242271485455,18.36583783783784,2.6252434915773346,0.902786505878592,5.686757074668244
