corridor,link_id,period,period_hours,lanes,length_mi,capacity_vphpl,capacity_vph,cutoff_mph,free_speed_mph,f_d,n,f_p,s,minimum_speed_mph,volume_V_speed_derived_veh,demand_D_speed_derived_vph,k_d_speed_derived,P_h,t0_min,T2_min,t3_min,vT2_mph,episode_identified,x_hat_D_over_C,demand_D_inferred_vph,volume_V_inferred_veh,z_predicted,vT2_predicted_mph,z_from_speed,demand_D_delta,demand_D_ape_pct,volume_V_delta,volume_V_ape_pct
I-395 NB,14,AM,5.0,1,0.932,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,49.03,10593.800000000001,2180.2,1.0289980932243386,,,,,,False,,,,,,,,,,
I-395 NB,15,AM,5.0,1,0.197,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,19.7,9379.300000000001,2128.6,1.1347328691906644,4.0,360.0,510.0,600.0,19.7,True,3.6398493480638137,8007.6685657403905,35284.37742114481,1.619677196436726,18.704594622058625,1.487309644670051,5879.06856574039,276.19414477780657,25905.077421144808,276.1941447778065
I-395 NB,16,AM,5.0,1,0.601,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,50.07,10021.0,2133.9,1.0647141003891827,,,,,,False,,,,,,,,,,
I-395 NB,17,AM,5.0,1,0.392,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,43.24,10478.699999999999,2157.2,1.0293261568706042,2.0,420.0,465.0,540.0,43.24,True,1.832581993653353,4031.6803860373766,19584.07623825786,0.15586904101376542,42.3923457254501,0.13320999074930606,1874.4803860373768,86.89413990531138,9105.376238257862,86.89413990531138
I-395 NB,18,AM,5.0,1,0.596,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,29.57,10020.900000000001,2131.8,1.0636769152471335,3.25,390.0,480.0,585.0,29.57,True,2.9635240458126657,6519.752900787865,30647.24263228498,0.8032947601450787,27.172485099473064,0.657084883327697,4387.952900787865,205.8332348619882,20626.342632284977,205.8332348619882
I-395 NB,19,AM,5.0,1,0.704,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,36.39,10118.699999999999,2125.8,1.050431379525038,2.75,405.0,480.0,570.0,36.39,True,2.511789398723859,5525.93667719249,26303.17784152208,0.45692988751226354,33.63236654007316,0.3465237702665567,3400.1366771924895,159.94621682154903,16184.47784152208,159.94621682154903
I-395 NB,20,AM,5.0,1,0.648,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,39.73,10389.0,2151.8,1.035614592357301,3.5,390.0,450.0,600.0,39.73,True,3.1891233974742073,7016.071474443256,33873.95043590993,1.031744744246825,24.117202782854733,0.23332494336773224,4864.271474443256,226.05592873144604,23484.95043590993,226.05592873144604
I-395 NB,21,AM,5.0,1,0.586,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,37.4,9688.500000000002,2068.5,1.0675027093977394,2.5,405.0,510.0,555.0,37.4,True,2.2856220851871405,5028.368587411709,23552.017915947956,0.33117233514169264,36.80965920523306,0.31016042780748676,2959.868587411709,143.09251087317907,13863.517915947954,143.09251087317904
I-395 NB,22,AM,5.0,1,1.621,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,16.28,9124.7,2114.6,1.1587230265104604,3.5,390.0,495.0,600.0,16.28,True,3.1891233974742073,7016.071474443256,30275.015313937573,1.031744744246825,24.117202782854733,2.0098280098280097,4901.471474443257,231.79189796856411,21150.31531393757,231.79189796856411
I-395 NB,23,AM,5.0,1,0.32,2200.0,2200.0,49.0,70.0,1.0847,1.0101,0.015,3.3773,26.49,9894.900000000001,2143.7000000000003,1.0832347977240802,3.25,405.0,510.0,600.0,26.49,True,2.9635240458126657,6519.752900787865,30093.90445398416,0.8032947601450787,27.172485099473064,0.849754624386561,4376.052900787865,204.1355087366639,20199.00445398416,204.1355087366639
I-395 NB,1,PM,6.0,1,0.135,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,13.35,9190.7,1772.1999999999998,1.1569521363987507,6.0,840.0,1050.0,1200.0,13.35,True,5.634572698594669,12396.059936908272,64286.462059667574,0.9487057128019806,25.14489472581496,2.6704119850187267,10623.859936908273,599.4729678878385,55095.76205966757,599.4729678878384
I-395 NB,2,PM,6.0,1,0.024,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,25.98,11207.8,2079.4,1.1131890290690414,6.0,840.0,1050.0,1200.0,25.98,True,5.634572698594669,12396.059936908272,66813.7734735407,0.9487057128019806,25.14489472581496,0.8860662047729022,10316.659936908272,496.1363824616847,55605.9734735407,496.1363824616847
I-395 NB,3,PM,6.0,1,0.924,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,42.93,12023.599999999999,2057.0,1.0264812535347152,1.25,1035.0,1080.0,1110.0,42.93,True,1.0527824814875946,2316.121459272708,13538.219726646244,0.15660083693649007,42.36552355416516,0.14139296529233647,259.12145927270785,12.597056843592993,1514.619726646246,12.597056843592986
I-395 NB,4,PM,6.0,1,1.151,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,47.7,12781.1,2164.2,1.0159688915664535,1.0,1035.0,1050.0,1095.0,47.7,True,0.8292828058328483,1824.4221728322664,10774.476588663932,0.1212,43.70317516946129,0.027253668763102645,-339.77782716773345,15.699927325003857,-2006.6234113360679,15.699927325003857
I-395 NB,5,PM,6.0,1,0.273,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,20.72,11179.199999999999,2098.2,1.1261270931730356,5.5,840.0,1050.0,1170.0,20.72,True,5.1339275492201075,11294.640608284237,60177.793484001115,0.8584897859920154,26.365493299628238,1.364864864864865,9196.440608284236,438.3014301917947,48998.59348400112,438.3014301917948
I-395 NB,6,PM,6.0,1,0.779,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,58.31,12392.1,2102.6000000000004,1.0180356840244997,,,,,,False,,,,,,,,,,
I-395 NB,7,PM,6.0,1,0.083,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,52.14,12894.6,2173.0,1.0111209343446095,,,,,,False,,,,,,,,,,
I-395 NB,8,PM,6.0,1,0.053,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,56.65,12346.400000000001,2125.7,1.0330298710555301,,,,,,False,,,,,,,,,,
I-395 NB,9,PM,6.0,1,0.344,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,39.72,12386.0,2132.2999999999997,1.0329242693363472,1.5,1020.0,1065.0,1110.0,39.72,True,1.2794267242942077,2814.7387934472567,16350.11710155125,0.19307490140266642,41.07034683437897,0.2336354481369587,682.438793447257,32.00482077790448,3964.11710155125,32.00482077790449
I-395 NB,10,PM,6.0,1,0.081,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,9.62,7852.7,1593.9,1.21784863804806,6.0,840.0,1050.0,1200.0,9.62,True,5.634572698594669,12396.059936908272,61071.92412733521,0.9487057128019806,25.14489472581496,4.093555093555094,10802.159936908272,677.7187989778702,53219.22412733521,677.7187989778702
I-395 NB,11,PM,6.0,1,0.095,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,52.98,12740.699999999999,2150.2999999999997,1.0126445171772351,,,,,,False,,,,,,,,,,
I-395 NB,12,PM,6.0,1,0.162,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,9.8,7868.5,1582.1000000000001,1.2064052869034758,6.0,840.0,960.0,1200.0,9.8,True,5.634572698594669,12396.059936908272,61651.22154956245,0.9487057128019806,25.14489472581496,4.0,10813.959936908272,683.5193689974255,53782.72154956245,683.5193689974258
I-395 NB,13,PM,6.0,1,0.139,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,10.51,8266.5,1659.5,1.2045000907276355,6.0,840.0,1050.0,1200.0,10.51,True,5.634572698594669,12396.059936908272,61748.73725125173,0.9487057128019806,25.14489472581496,3.6622264509990483,10736.559936908272,646.975591256901,53482.23725125173,646.9755912569011
I-395 NB,14,PM,6.0,1,0.932,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,55.09,12800.0,2158.0,1.0115625,,,,,,False,,,,,,,,,,
I-395 NB,15,PM,6.0,1,0.197,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,18.64,10220.6,1953.4,1.1467428526700976,6.0,840.0,1050.0,1200.0,18.64,True,5.634572698594669,12396.059936908272,64858.795019537574,0.9487057128019806,25.14489472581496,1.628755364806867,10442.659936908272,534.5889186499576,54638.195019537576,534.5889186499576
I-395 NB,16,PM,6.0,1,0.601,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,58.23,12258.400000000001,2094.2,1.0250277360830122,,,,,,False,,,,,,,,,,
I-395 NB,17,PM,6.0,1,0.392,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,53.05,12930.0,2176.5,1.0099767981438514,,,,,,False,,,,,,,,,,
I-395 NB,18,PM,6.0,1,0.596,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,41.4,12706.7,2158.3999999999996,1.019178858397538,2.25,990.0,1065.0,1125.0,41.4,True,1.9739137617766422,4342.6102759086125,25565.347476319483,0.3075735771588231,37.4739906464539,0.1835748792270533,2184.210275908613,101.19580596314923,12858.647476319482,101.19580596314921
I-395 NB,19,PM,6.0,1,0.704,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,41.32,12455.8,2126.2,1.0241975625812874,1.5,1020.0,1065.0,1110.0,41.32,True,1.2794267242942077,2814.7387934472567,16489.42877594786,0.19307490140266642,41.07034683437897,0.18586640851887704,688.5387934472569,32.38353839936304,4033.628775947862,32.38353839936304
I-395 NB,20,PM,6.0,1,0.648,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,37.36,12752.800000000001,2155.4,1.0140831817326392,4.5,885.0,1050.0,1155.0,37.36,True,4.142389757444438,9113.257466377765,53920.17714448472,0.68179195234571,29.135589530950224,0.31156316916488214,6957.857466377765,322.81049765137635,41167.377144484715,322.8104976513763
I-395 NB,21,PM,6.0,1,0.586,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,47.74,12138.2,2060.7999999999997,1.018668336326638,0.25,1080.0,1080.0,1095.0,47.74,True,0.18830293627143344,414.2664597971536,2440.0471381549933,0.024665897690116997,47.820465295526745,0.02639296187683282,-1646.533540202846,79.89778436543314,-9698.152861845007,79.89778436543314
I-395 NB,22,PM,6.0,1,1.621,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,18.28,11112.0,2103.4,1.1357451403887688,4.25,885.0,1050.0,1140.0,18.28,True,3.8967676487380136,8572.88882722363,45289.503018022726,0.6384758384465973,29.905842277452088,1.6805251641137855,6469.488827223631,307.5729213284982,34177.503018022726,307.57292132849824
I-395 NB,23,PM,6.0,1,0.32,2200.0,2200.0,49.0,70.0,1.1913,0.9351,0.1212,1.1484,39.34,12465.8,2159.6,1.0394519405092333,5.0,900.0,1050.0,1200.0,39.34,True,4.636435455903978,10200.158002988752,58878.09299576643,0.7694843169769335,27.69168368992035,0.24555160142348753,8040.5580029887515,372.31700328712503,46412.29299576643,372.31700328712503
