link_id,from_node_id,to_node_id,tmc_code,corridor,road,direction,period,period_hours,bins_in_period,lanes,length_mi,links_sharing_this_tmc,free_speed_obs_p95_mph,free_speed_assign_mph,free_speed_diff_mph,observed_max_mph,assign_free_speed_impossible,cutoff_obs_mph,cutoff_assign_mph,lane_capacity_vphpl,mu_free_vph,mu_queued_vph,capacity_drop,V_assign_veh,V_throughput_obs_veh,V_demand_obs_veh,V_max_feasible_veh,V_from_assignment_veh,obs_volume_in_assignment,D_assign_vphpl,D_obs_vphpl,D_ratio,queued_bins,observation_weight,inside_window,below_lower,above_upper,t0_min_obs,T2_min_obs,t3_min_obs,P_h_obs,vT2_mph_obs,t0_min_model,T2_min_model,t3_min_model,P_h_model,vT2_mph_model,right_censored,speed_mae_episode_mph,speed_mae_period_mph
31352,34853,34856,110-58633,I66_WB,I-66,WESTBOUND,AM,3.0,12,2,0.14,4,71.4,75.0,3.6,75.53,False,49.98,56.25,2000.0,4000.0,,,4920.7948,0.0,0.0,12000.0,4920.7948,-1,820.1,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,8.73
31352,34853,34856,110-58633,I66_WB,I-66,WESTBOUND,MD,6.0,24,2,0.14,4,71.4,75.0,3.6,75.53,False,49.98,56.25,2000.0,4000.0,,,13906.1981,0.0,0.0,24000.0,13906.1981,-1,1158.8,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,8.73
31352,34853,34856,110-58633,I66_WB,I-66,WESTBOUND,PM,4.0,16,2,0.14,4,71.4,75.0,3.6,75.53,False,49.98,56.25,2000.0,4000.0,,,2669.5793,0.0,0.0,16000.0,2669.5793,-1,333.7,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,8.73
31353,34854,36684,110-04176,I66_EB,I-66,EASTBOUND,AM,3.0,12,2,0.24,1,66.8765,75.0,8.12,71.12,True,46.81354999999999,56.25,2000.0,4000.0,,,1441.2275,0.0,0.0,12000.0,1441.2275,-1,240.2,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,17.84
31353,34854,36684,110-04176,I66_EB,I-66,EASTBOUND,MD,6.0,24,2,0.24,1,66.8765,75.0,8.12,71.12,True,46.81354999999999,56.25,2000.0,4000.0,,,13288.2324,0.0,0.0,24000.0,13288.2324,-1,1107.4,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,17.84
31353,34854,36684,110-04176,I66_EB,I-66,EASTBOUND,PM,4.0,16,2,0.24,1,66.8765,75.0,8.12,71.12,True,46.81354999999999,56.25,2000.0,4000.0,,,7045.9046,0.0,0.0,16000.0,7045.9046,-1,880.7,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,17.84
31354,34855,34859,110+04178,I66_WB,I-66,WESTBOUND,AM,3.0,12,4,0.1,3,67.7165,63.0,-4.72,70.58,False,47.40154999999999,47.25,1900.0,7600.0,,,9363.7247,0.0,0.0,22800.0,9363.7247,-1,780.3,0.0,,0,0.0,True,False,False,,,,,,,,,,,True,0.55,0.55
31354,34855,34859,110+04178,I66_WB,I-66,WESTBOUND,MD,6.0,24,4,0.1,3,67.7165,63.0,-4.72,70.58,False,47.40154999999999,47.25,1900.0,7600.0,,,21148.0482,10681.563361615128,10169.660791366372,44881.56336161513,10978.38740863363,-1,881.2,445.1,1.98,6,0.25,True,False,False,,,,,,,,,,,True,0.55,0.55
31354,34855,34859,110+04178,I66_WB,I-66,WESTBOUND,PM,4.0,16,4,0.1,3,67.7165,63.0,-4.72,70.58,False,47.40154999999999,47.25,1900.0,7600.0,6771.335444795606,0.109034809895315,14995.3255,26357.756666635734,27080.56495106105,26357.756666635734,-12085.239451061045,-1,937.2,1647.4,0.569,16,1.0,False,True,False,795.5562686666667,1065.0,1178.8039189,6.387460837222222,24.70275362318841,820.2358760833333,1065.0,1440.0,,24.54621439275836,True,0.55,0.55
31355,34856,34860,110-58633,I66_WB,I-66,WESTBOUND,AM,3.0,12,2,0.1,4,71.4,75.0,3.6,75.53,False,49.98,56.25,2000.0,4000.0,,,4920.7948,0.0,0.0,12000.0,4920.7948,-1,820.1,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,8.73
31355,34856,34860,110-58633,I66_WB,I-66,WESTBOUND,MD,6.0,24,2,0.1,4,71.4,75.0,3.6,75.53,False,49.98,56.25,2000.0,4000.0,,,13906.1981,0.0,0.0,24000.0,13906.1981,-1,1158.8,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,8.73
31355,34856,34860,110-58633,I66_WB,I-66,WESTBOUND,PM,4.0,16,2,0.1,4,71.4,75.0,3.6,75.53,False,49.98,56.25,2000.0,4000.0,,,2669.5793,0.0,0.0,16000.0,2669.5793,-1,333.7,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,8.73
31357,34858,35063,110-04177,I66_EB,I-66,EASTBOUND,AM,3.0,12,4,0.07,2,68.083,63.0,-5.08,71.59,False,47.6581,47.25,1900.0,7600.0,,,15292.876,0.0,0.0,22800.0,15292.876,-1,1274.4,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,19.9
31357,34858,35063,110-04177,I66_EB,I-66,EASTBOUND,MD,6.0,24,4,0.07,2,68.083,63.0,-5.08,71.59,False,47.6581,47.25,1900.0,7600.0,,,25182.8843,0.0,0.0,45600.0,25182.8843,-1,1049.3,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,19.9
31357,34858,35063,110-04177,I66_EB,I-66,EASTBOUND,PM,4.0,16,4,0.07,2,68.083,63.0,-5.08,71.59,False,47.6581,47.25,1900.0,7600.0,,,15651.1085,0.0,0.0,30400.0,15651.1085,-1,978.2,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,19.9
31358,34859,35178,110+04178,I66_WB,I-66,WESTBOUND,AM,3.0,12,4,0.92,3,67.7165,63.0,-4.72,70.58,False,47.40154999999999,47.25,1900.0,7600.0,,,9363.7247,0.0,0.0,22800.0,9363.7247,-1,780.3,0.0,,0,0.0,True,False,False,,,,,,,,,,,True,0.57,0.57
31358,34859,35178,110+04178,I66_WB,I-66,WESTBOUND,MD,6.0,24,4,0.92,3,67.7165,63.0,-4.72,70.58,False,47.40154999999999,47.25,1900.0,7600.0,,,21148.0482,10681.563361615128,10270.030462239583,44881.56336161513,10878.017737760416,-1,881.2,445.1,1.98,6,0.25,True,False,False,,,,,,,,,,,True,0.57,0.57
31358,34859,35178,110+04178,I66_WB,I-66,WESTBOUND,PM,4.0,16,4,0.92,3,67.7165,63.0,-4.72,70.58,False,47.40154999999999,47.25,1900.0,7600.0,6771.335444795606,0.109034809895315,14995.3255,26357.756666635734,27048.073397435222,26357.756666635734,-12052.747897435222,-1,937.2,1647.4,0.569,16,1.0,False,True,False,795.5562686666667,1065.0,1178.8039189,6.387460837222222,24.70275362318841,821.2150179,1065.0,1440.0,,24.45517622197869,True,0.57,0.57
31359,34860,34863,110-58633,I66_WB,I-66,WESTBOUND,AM,3.0,12,2,0.92,4,71.4,75.0,3.6,75.53,False,49.98,56.25,2000.0,4000.0,,,4920.7948,0.0,0.0,12000.0,4920.7948,-1,820.1,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,8.73
31359,34860,34863,110-58633,I66_WB,I-66,WESTBOUND,MD,6.0,24,2,0.92,4,71.4,75.0,3.6,75.53,False,49.98,56.25,2000.0,4000.0,,,13906.1981,0.0,0.0,24000.0,13906.1981,-1,1158.8,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,8.73
31359,34860,34863,110-58633,I66_WB,I-66,WESTBOUND,PM,4.0,16,2,0.92,4,71.4,75.0,3.6,75.53,False,49.98,56.25,2000.0,4000.0,,,2669.5793,0.0,0.0,16000.0,2669.5793,-1,333.7,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,8.73
31361,34862,34858,110-04177,I66_EB,I-66,EASTBOUND,AM,3.0,12,4,0.51,2,68.083,63.0,-5.08,71.59,False,47.6581,47.25,1900.0,7600.0,,,15292.876,0.0,0.0,22800.0,15292.876,-1,1274.4,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,19.9
31361,34862,34858,110-04177,I66_EB,I-66,EASTBOUND,MD,6.0,24,4,0.51,2,68.083,63.0,-5.08,71.59,False,47.6581,47.25,1900.0,7600.0,,,25182.8843,0.0,0.0,45600.0,25182.8843,-1,1049.3,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,19.9
31361,34862,34858,110-04177,I66_EB,I-66,EASTBOUND,PM,4.0,16,4,0.51,2,68.083,63.0,-5.08,71.59,False,47.6581,47.25,1900.0,7600.0,,,15651.1085,0.0,0.0,30400.0,15651.1085,-1,978.2,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,19.9
31362,34863,34865,110-58633,I66_WB,I-66,WESTBOUND,AM,3.0,12,2,0.86,4,71.4,75.0,3.6,75.53,False,49.98,56.25,2000.0,4000.0,,,4332.6488,0.0,0.0,12000.0,4332.6488,-1,722.1,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,8.73
31362,34863,34865,110-58633,I66_WB,I-66,WESTBOUND,MD,6.0,24,2,0.86,4,71.4,75.0,3.6,75.53,False,49.98,56.25,2000.0,4000.0,,,12220.94,0.0,0.0,24000.0,12220.94,-1,1018.4,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,8.73
31362,34863,34865,110-58633,I66_WB,I-66,WESTBOUND,PM,4.0,16,2,0.86,4,71.4,75.0,3.6,75.53,False,49.98,56.25,2000.0,4000.0,,,2595.7353,0.0,0.0,16000.0,2595.7353,-1,324.5,0.0,,0,0.0,True,False,False,,,,,,,,,,,False,,8.73
