free_speed_source,free_speed_mph,capacity_vphpl,capacity_drop_fraction,qmax_veh,peak_clock_min,queue_at_0900_veh,queue_at_1500_veh,queue_at_1900_veh,end_of_day_veh,residual_rmse_veh,exceeds_storage
network_attribute,68.99982850155094,2000.0,0.1,292.3582753782689,475.0,213.88220612321612,196.02449639935193,0.0,0.0,24.196940475500817,False
network_attribute,68.99982850155094,2200.0,0.05,342.3737474924074,475.0,248.4128071028318,220.2258494485006,0.0,0.0,27.034005411431824,False
network_attribute,68.99982850155094,2200.0,0.15,302.90537870773824,480.0,221.75938359783666,209.53493167292237,2.1316282072803006e-14,0.0,24.31749866288809,False
network_attribute,68.99982850155094,2200.0,0.1,321.8868626205844,475.0,235.28280241191794,214.35888436416528,1.4210854715202004e-14,1.4210854715202004e-14,26.70943113880564,False
qvdf_calibration_constant,70.0,1900.0,0.05,296.2176400781413,470.0,216.41419119890523,197.70330455770386,2.7711215468528962,5.551115123125783e-17,24.27526647316702,False
qvdf_calibration_constant,70.0,1900.0,0.15,262.9048433405865,480.0,193.21317102297849,181.75455860746834,1.4210854715202004e-14,1.4210854715202004e-14,21.0983142598019,False
qvdf_calibration_constant,70.0,1900.0,0.1,279.8781913710711,475.0,204.81523743724372,187.47005772222542,0.0,1.1102230246251565e-16,23.13215345446804,False
qvdf_calibration_constant,70.0,2000.0,0.05,312.65983963731884,475.0,227.65374279217437,199.01018381845074,2.1316282072803006e-14,2.3245294578089215e-16,24.819323970019084,False
qvdf_calibration_constant,70.0,2000.0,0.15,276.71230479463975,480.0,203.05618830126826,192.478687870497,0.0,2.220446049250313e-16,22.17761045865068,False
qvdf_calibration_constant,70.0,2000.0,0.1,293.56538458632565,475.0,215.70696420332735,202.0167482520031,1.4210854715202004e-14,1.4210854715202004e-14,24.068833995062967,False
qvdf_calibration_constant,70.0,2200.0,0.05,343.09848772160603,475.0,249.83070982482855,223.01804164979393,0.0,0.0,26.92562420366841,False
qvdf_calibration_constant,70.0,2200.0,0.15,304.4106703113257,480.0,223.43865252919286,211.13545403723558,2.842170943040401e-14,0.0,24.413237155286883,False
qvdf_calibration_constant,70.0,2200.0,0.1,323.1588871385232,475.0,237.37831674488754,225.2809423565508,0.0,0.0,26.385989772864846,False
