clock_min,queue_min_veh,queue_median_veh,queue_max_veh
1395,0.0,0.0,7.193108394694423
1400,0.0,0.0,8.47846410568537
1405,0.0,0.0,8.43944683798161
1410,0.0,0.0,6.722819141845935
1415,0.0,0.0,4.487878340434779
1420,0.0,0.0,4.515484122147516
1425,0.0,0.0,4.179459696846393
1430,0.0,0.0,3.478166283811574
1435,0.0,0.0,2.4373429611207618
1440,0.0,0.0,1.110106665648586
1445,0.0,0.0,1.4210854715202004e-14
1450,0.0,0.0,1.4210854715202004e-14
1455,0.0,0.0,1.4210854715202004e-14
1460,0.0,0.0,1.4210854715202004e-14
1465,0.0,0.0,1.4210854715202004e-14
1470,0.0,0.0,1.4210854715202004e-14
1475,0.0,0.0,1.4210854715202004e-14
1480,0.0,0.0,1.4210854715202004e-14
1485,0.0,0.0,1.4210854715202004e-14
1490,0.0,0.0,1.4210854715202004e-14
1495,0.0,0.0,1.4210854715202004e-14
1500,0.0,0.0,0.11809764169001753
1505,0.0,0.0,0.37971941290039884
1510,0.0,0.0,0.7259003433139375
1515,0.0,2.970713952610282e-17,1.3495174318309267
1520,0.0,9.71445146547012e-17,2.102285755837792
1525,0.0,9.71445146547012e-17,2.57457681046451
1530,0.0,9.71445146547012e-17,2.5794436710353623
1535,0.0,0.0,2.100815438217764
1540,0.0,0.0,2.093683633630097
1545,0.0,0.0,1.9601940761101695
1550,0.0,0.0,1.702775343040774
1555,0.0,0.0,1.3319959030126012
1560,0.0,0.0,0.86656411582318
1565,0.0,0.0,0.34621367851893353
1570,0.0,0.0,1.4210854715202004e-14
1575,0.0,0.0,1.4210854715202004e-14
1580,0.0,0.0,1.4210854715202004e-14
1585,0.0,0.0,1.4210854715202004e-14
1590,0.0,0.0,1.4210854715202004e-14
1595,0.0,0.0,1.4210854715202004e-14
1600,0.0,0.0,1.4210854715202004e-14
1605,0.0,0.0,1.4210854715202004e-14
1610,0.0,0.0,1.4210854715202004e-14
1615,0.0,0.0,1.4210854715202004e-14
1620,0.0,1.8973538018496328e-18,0.32573594813902673
1625,0.0,6.938893903907228e-17,1.052512128948365
1630,0.0,6.938893903907228e-17,1.8311267878504318
1635,0.0,6.938893903907228e-17,2.3469522116727903
1640,0.0,9.71445146547012e-17,2.3414772926913274
1645,0.0,6.938893903907228e-17,1.6123075286316935
1650,0.0,6.938893903907228e-17,0.9225516442152185
1655,0.0,2.7755575615628914e-17,0.6214569637654
1660,0.0,2.7755575615628914e-17,0.5368733192723069
1665,0.0,1.8973538018496328e-18,0.5048694184478624
1670,0.0,1.8973538018496328e-18,0.4386898461455212
1675,0.0,1.8973538018496328e-18,0.34165927588917994
1680,0.0,1.8973538018496328e-18,0.21965339481283236
1685,0.0,1.8973538018496328e-18,0.0810989036618579
1690,0.0,1.8973538018496328e-18,1.4210854715202004e-14
1695,0.0,1.8973538018496328e-18,1.4210854715202004e-14
1700,0.0,1.8973538018496328e-18,1.4210854715202004e-14
1705,0.0,1.8973538018496328e-18,1.4210854715202004e-14
1710,0.0,1.8973538018496328e-18,1.4210854715202004e-14
1715,0.0,1.8973538018496328e-18,1.4210854715202004e-14
1720,0.0,1.8973538018496328e-18,1.4210854715202004e-14
1725,0.0,1.8973538018496328e-18,0.031099825699132222
1730,0.0,2.7755575615628914e-17,0.0888330286748012
1735,0.0,2.7755575615628914e-17,0.15889310700443826
1740,0.0,2.7755575615628914e-17,0.2232227472383505
1745,0.0,2.7755575615628914e-17,0.2600138243991169
1750,0.0,6.938893903907228e-17,0.24617560954569495
1755,0.0,6.938893903907228e-17,0.1672076000287865
1760,0.0,1.904130065427667e-18,0.02177856534620489
1765,0.0,1.904130065427667e-18,1.4210854715202004e-14
1770,0.0,1.904130065427667e-18,1.4210854715202004e-14
1775,0.0,1.904130065427667e-18,1.4210854715202004e-14
1780,0.0,1.904130065427667e-18,1.4210854715202004e-14
1785,0.0,1.904130065427667e-18,1.4210854715202004e-14
1790,0.0,1.904130065427667e-18,1.4210854715202004e-14
1795,0.0,2.7755575615628914e-17,0.20498760042710523
