clock_min,wall_clock,period,speed_raw_mph,speed_mph,queued_regime,mu_vph,lambda_b_vph,lambda_b_identifiable,queue_b_measurement_veh,queue_b_recurrence_veh,outflow_b_vph,lambda_a_vph,queue_a_veh,outflow_a_vph
695,11:35,MD,63.58,59.95,False,7600.0,6735.4917582450935,False,0.0,0.0,6735.4917582450935,7619.457773709141,3142.1533119729925,7600.0
700,11:40,MD,59.95,59.95,False,7600.0,6893.146942827125,False,0.0,0.0,6893.146942827125,3907.6808049757956,3143.774793115421,7600.0
705,11:45,MD,56.48,56.48,False,7600.0,7044.64579096818,False,0.0,0.0,7044.64579096818,3907.6808049757956,2836.0815268634037,7600.0
710,11:50,MD,53.71,56.48,False,7600.0,7184.810375936282,False,0.0,0.0,7184.810375936282,3907.6808049757956,2528.3882606113866,7600.0
715,11:55,MD,57.4,57.4,False,7600.0,7308.4627709994475,False,0.0,0.0,7308.4627709994475,3907.6808049757956,2220.6949943593695,7600.0
720,12:00,MD,59.76,58.99,False,7600.0,7410.42504942571,False,0.0,0.0,7410.42504942571,3907.6808049757956,1913.0017281073524,7600.0
725,12:05,MD,58.99,58.99,False,7600.0,7486.917090001805,False,0.0,0.0,7486.917090001805,3907.6808049757956,1605.3084618553353,7600.0
730,12:10,MD,55.51,57.94,False,7600.0,7539.7499935893875,False,0.0,0.0,7539.7499935893875,3907.6808049757956,1297.6151956033182,7600.0
735,12:15,MD,57.94,55.51,False,7600.0,7572.132666568812,False,0.0,0.0,7572.132666568812,3907.6808049757956,989.9219293513012,7600.0
740,12:20,MD,55.21,55.21,False,7600.0,7587.274015320453,False,0.0,0.0,7587.274015320453,3907.6808049757956,682.2286630992842,7600.0
745,12:25,MD,47.59,47.59,False,7600.0,7588.3829462246795,False,0.0,0.0,7588.3829462246795,3907.6808049757956,374.5353968472672,7600.0
750,12:30,MD,44.52,47.1,False,7600.0,7578.668365661852,False,0.0,0.0,7578.668365661852,3907.6808049757956,66.84213059525018,4709.786372118798
755,12:35,MD,47.1,47.1,False,7600.0,7561.339180012341,False,0.0,0.0,7561.339180012341,3907.6808049757956,0.0,3907.6808049757956
760,12:40,MD,53.24,53.24,False,7600.0,7539.604295656514,False,0.0,0.0,7539.604295656514,3907.6808049757956,0.0,3907.6808049757956
765,12:45,MD,58.78,58.16,False,7600.0,7516.672618974739,False,0.0,0.0,7516.672618974739,3907.6808049757956,0.0,3907.6808049757956
770,12:50,MD,58.16,58.78,False,7600.0,7495.753056347381,False,0.0,0.0,7495.753056347381,3907.6808049757956,0.0,3907.6808049757956
775,12:55,MD,60.34,58.16,False,7600.0,7480.0545141548055,False,0.0,0.0,7480.0545141548055,3907.6808049757956,0.0,3907.6808049757956
780,13:00,MD,57.79,57.79,False,7600.0,7472.785898777387,False,0.0,0.0,7472.785898777387,3907.6808049757956,0.0,3907.6808049757956
785,13:05,MD,57.13,57.13,False,7600.0,7476.236631349718,False,0.0,0.0,7476.236631349718,3907.6808049757956,0.0,3907.6808049757956
790,13:10,MD,56.78,57.13,False,7600.0,7489.018192023349,False,0.0,0.0,7489.018192023349,3907.6808049757956,0.0,3907.6808049757956
795,13:15,MD,57.57,57.57,False,7600.0,7508.82257570405,False,0.0,0.0,7508.82257570405,3907.6808049757956,0.0,3907.6808049757956
800,13:20,MD,58.64,57.57,False,7600.0,7533.341777297603,False,0.0,0.0,7533.341777297603,7954.893550285369,0.0,7600.0
805,13:25,MD,55.76,56.1,False,7600.0,7560.267791709784,False,0.0,0.0,7560.267791709784,7954.893550285369,29.574462523780767,7600.0
810,13:30,MD,56.1,55.76,False,7600.0,7587.292613846372,False,0.0,0.0,7587.292613846372,7954.893550285369,59.148925047561534,7600.0
815,13:35,MD,55.18,56.1,False,7600.0,7612.10823861314,False,0.0,0.0,7600.0,7954.893550285369,88.7233875713423,7600.0
820,13:40,MD,59.38,56.8,False,7600.0,7632.406660915867,True,0.0,1.00901988442835,7600.0,7954.893550285369,118.29785009512307,7600.0
825,13:45,MD,56.8,59.38,False,7600.0,7645.879875660333,True,0.0,3.7095749607506145,7600.0,7954.893550285369,147.87231261890383,7600.0
830,13:50,MD,61.07,57.75,False,7600.0,7650.219877752314,True,0.0,7.532897932445014,7600.0,7954.893550285369,177.4467751426846,7600.0
835,13:55,MD,57.75,57.75,False,7600.0,7643.11866209758,True,0.0,11.717887745137809,7600.0,7954.893550285369,207.02123766646537,7600.0
840,14:00,MD,51.78,54.9,False,7600.0,7622.268223601921,True,0.0,15.311109586602846,7600.0,7954.893550285369,236.59570019024613,7600.0
845,14:05,MD,54.9,54.9,False,7600.0,7586.152868013922,True,0.0,17.166794886762922,7600.0,7954.893550285369,266.1701627140269,7600.0
850,14:10,MD,57.18,54.9,False,7600.0,7536.426144453468,True,0.0,16.012867221256403,7600.0,7954.893550285369,295.74462523780767,7600.0
855,14:15,MD,51.67,51.67,False,7600.0,7475.533912883242,True,0.0,10.715045925712047,7600.0,7954.893550285369,325.31908776158843,7600.0
860,14:20,MD,46.56,46.56,True,6840.0,7405.922033265946,True,46.16955701947819,0.34287199931554824,6840.0,7954.893550285369,354.8935502853692,6840.0
865,14:25,MD,33.81,33.81,True,6840.0,7330.036365564275,True,104.03912846863157,47.503041438144386,6840.0,7954.893550285369,447.8013461424833,6840.0
870,14:30,MD,26.35,28.93,True,6840.0,7250.322769740917,True,163.86806193643665,88.3394052351673,6840.0,7954.893550285369,540.7091419995974,6840.0
875,14:35,MD,28.93,28.93,True,6840.0,7169.227105758571,True,139.6862479219766,122.53296938024369,6840.0,7954.893550285369,633.6169378567115,6840.0
880,14:40,MD,38.94,38.26,True,6840.0,7089.195233579927,True,76.19879255630727,149.9685615267913,6840.0,7954.893550285369,726.5247337138256,6840.0
885,14:45,MD,38.26,38.26,True,6840.0,7012.673013167685,True,79.45990837967783,170.7348309917852,6840.0,7954.893550285369,819.4325295709398,6840.0
890,14:50,MD,22.93,24.15,True,6840.0,6942.106304484536,True,204.31071665705738,185.12424875575894,6840.0,7954.893550285369,912.3403254280539,6840.0
895,14:55,MD,24.15,24.15,True,6840.0,6879.94096749317,True,188.56955189365377,193.6331074628036,6840.0,7954.893550285369,1005.248121285168,6840.0
900,15:00,PM,25.59,24.15,True,6840.0,6828.6228621562905,True,171.92112148872565,196.96152142056778,6840.0,7954.893550285369,1098.155917142282,6840.0
905,15:05,PM,22.76,22.76,True,6840.0,6789.958104186994,True,206.63811560027648,196.01342660025864,6840.0,7954.893550285369,1191.063712999396,6840.0
910,15:10,PM,22.54,22.54,True,6840.0,6763.193832300054,True,209.70215774990933,191.84326861584148,6840.0,7954.893550285369,1283.9715088565101,6840.0
915,15:15,PM,21.59,22.54,True,6840.0,6746.937440960635,True,223.65026490376025,185.44275464084598,6840.0,7954.893550285369,1376.8793047136242,6840.0
920,15:20,PM,24.7,24.7,True,6840.0,6739.79632463392,True,181.98165452146074,177.68754138756557,6840.0,7954.893550285369,1469.7871005707382,6840.0
925,15:25,PM,29.88,28.23,True,6840.0,6740.377877785085,True,131.83402171330505,169.33723510705894,6840.0,7954.893550285369,1562.6948964278522,6840.0
930,15:30,PM,28.23,28.23,True,6840.0,6747.2894948793,True,145.81027288163406,161.03539158914936,6840.0,7954.893550285369,1655.6026922849662,6840.0
935,15:35,PM,26.59,26.59,True,6840.0,6759.138570381744,True,161.42063064319535,153.30951616242436,6840.0,7954.893550285369,1748.5104881420802,6840.0
940,15:40,PM,25.79,26.58,True,6840.0,6774.53249875759,True,169.75587874671206,146.57106369423636,6840.0,7954.893550285369,1841.4182839991943,6840.0
