link_id,local_date,episode_id,t0_la,T2_la,t3_la,P_h,onset_to_T2_h,T2_to_recovery_h,asymmetry_ratio,vT2_robust_mph,speed_raw_at_robust_T2_mph,T2_raw_la,vT2_raw_min_mph,free_speed_p95_mph,enter_threshold_mph,exit_threshold_mph,period_by_T2,cross_period,missing_bins_inside,quality_status,quality_flags,detection_source,multiple_episode_day
L405S-028,2025-06-05,L405S-028-2025-06-05-E1,2025-06-05T06:45:43.043478-07:00,2025-06-05T07:45:00-07:00,2025-06-05T08:08:22.777777-07:00,1.3777039719444444,0.9880434783333333,0.3896604936111111,2.535652175504916,39.9,39.9,2025-06-05T07:50:00-07:00,39.300000000000004,69.1,48.36999999999999,51.824999999999996,AM,False,0,accepted,,speed_only,False
L405S-030,2025-06-02,L405S-030-2025-06-02-E1,2025-06-02T07:37:18.883928-07:00,2025-06-02T08:00:00-07:00,2025-06-02T08:21:06.240875-07:00,0.7298213741666667,0.3780877977777778,0.35173357638888886,1.0749266580104675,41.275000000000006,41.275000000000006,2025-06-02T08:05:00-07:00,40.425000000000004,68.975,48.28249999999999,51.731249999999996,AM,False,0,accepted,,speed_only,False
L405S-030,2025-06-03,L405S-030-2025-06-03-E1,2025-06-03T06:58:35.720338-07:00,2025-06-03T07:20:00-07:00,2025-06-03T07:47:55.540540-07:00,0.8221722783333333,0.35674435055555553,0.46542792777777775,0.7664867732773568,38.675000000000004,38.675000000000004,2025-06-03T07:25:00-07:00,38.525000000000006,68.975,48.28249999999999,51.731249999999996,AM,False,0,accepted,,speed_only,False
L405S-030,2025-06-04,L405S-030-2025-06-04-E1,2025-06-04T06:49:56.166666-07:00,2025-06-04T07:25:00-07:00,2025-06-04T07:46:31.889312-07:00,0.9432562905555556,0.5843981483333334,0.35885814222222223,1.6284934896961203,42.275,40.2,2025-06-04T07:25:00-07:00,40.2,68.975,48.28249999999999,51.731249999999996,AM,False,0,accepted,,speed_only,False
L405S-058,2025-06-03,L405S-058-2025-06-03-E1,2025-06-03T06:57:27.692307-07:00,2025-06-03T08:10:00-07:00,2025-06-03T09:46:09.230769-07:00,2.8115384616666668,1.2089743591666666,1.6025641025,0.754400000150176,43.10000000000001,43.00000000000001,2025-06-03T08:25:00-07:00,41.6,66.8,46.76,50.099999999999994,AM,False,0,accepted_with_flags,raw_robust_t2_disagree,speed_only,False
L405S-058,2025-06-04,L405S-058-2025-06-04-E1,2025-06-04T06:59:13.043478-07:00,2025-06-04T08:20:00-07:00,2025-06-04T09:33:03.333333-07:00,2.563969404166667,1.3463768116666668,1.2175925925,1.1057695488293362,36.6,36.1,2025-06-04T08:35:00-07:00,35.4,66.8,46.76,50.099999999999994,AM,False,0,accepted_with_flags,raw_robust_t2_disagree,speed_only,True
L405S-058,2025-06-04,L405S-058-2025-06-04-E2,2025-06-04T22:58:23.142857-07:00,2025-06-04T23:50:00-07:00,2025-06-04T23:57:30.485436-07:00,0.9853729386111111,0.8602380952777778,0.12513484333333333,6.874488930203729,32.4,34.6,2025-06-04T23:55:00-07:00,31.2,66.8,46.76,50.099999999999994,NT2,False,0,accepted,,speed_only,True
L405S-058,2025-06-05,L405S-058-2025-06-05-E1,2025-06-05T07:05:38.181818-07:00,2025-06-05T08:35:00-07:00,2025-06-05T09:37:14.782608-07:00,2.526833552777778,1.4893939394444444,1.0374396133333332,1.4356439838064063,37.7,37.7,2025-06-05T08:20:00-07:00,36.8,66.8,46.76,50.099999999999994,AM,False,0,accepted_with_flags,raw_robust_t2_disagree,speed_only,False
L405S-115,2025-06-02,L405S-115-2025-06-02-E1,2025-06-02T06:36:11.033333-07:00,2025-06-02T07:30:00-07:00,2025-06-02T07:55:04.243421-07:00,1.31478058,0.8969351852777778,0.4178453947222222,2.1465719057979515,24.1,24.1,2025-06-02T07:35:00-07:00,22.700000000000003,71.005,49.70349999999999,53.25375,AM,False,0,accepted,,speed_only,True
L405S-115,2025-06-02,L405S-115-2025-06-02-E2,2025-06-02T08:17:39.150000-07:00,2025-06-02T08:50:00-07:00,2025-06-02T09:11:52.755681-07:00,0.9037793558333332,0.539125,0.36465435583333333,1.4784548473799366,26.9,23.4,2025-06-02T08:50:00-07:00,23.4,71.005,49.70349999999999,53.25375,AM,False,0,accepted,,speed_only,True
L405S-115,2025-06-03,L405S-115-2025-06-03-E1,2025-06-03T06:23:34.847014-07:00,2025-06-03T08:00:00-07:00,2025-06-03T09:58:38.154069-07:00,3.584251959722222,1.6069869405555555,1.9772650191666667,0.8127321957239866,10.800000000000002,10.7,2025-06-03T07:45:00-07:00,10.5,71.005,49.70349999999999,53.25375,AM,False,0,accepted_with_flags,raw_robust_t2_disagree,speed_only,False
L405S-115,2025-06-04,L405S-115-2025-06-04-E1,2025-06-04T06:31:34.500000-07:00,2025-06-04T08:00:00-07:00,2025-06-04T09:26:11.249999-07:00,2.9102083330555555,1.47375,1.4364583330555554,1.0259608413876646,12.0,11.300000000000002,2025-06-04T08:00:00-07:00,11.300000000000002,71.005,49.70349999999999,53.25375,AM,False,0,accepted,,speed_only,False
L405S-115,2025-06-05,L405S-115-2025-06-05-E1,2025-06-05T06:32:49.586065-07:00,2025-06-05T07:55:00-07:00,2025-06-05T09:11:19.295454-07:00,2.6415859413888887,1.3695594263888888,1.272026515,1.0766752188250484,11.4,11.4,2025-06-05T08:00:00-07:00,10.6,71.005,49.70349999999999,53.25375,AM,False,0,accepted,,speed_only,False
