model_link_id,tmc_id,day_id,period_id,period_hours,samples,observed_volume_veh,average_flow_rate_vph,D_peak_1h_vph,k_d_daily_derived,D_status,nominal_capacity_vph,capacity_basis,cutoff_speed_mph,k_mu,mu_vph,mu_status,T2_timestamp_la,vT2_observed_mph,t0_clock_h,t3_clock_h,P_observed_h,speed_state_quality,volume_status
L405S-001,1222782,2025-06-20,PM,4.0,48,7973.0,1993.25,3080.0,1.5452151009657595,derived_from_observed_rolling_1h_peak,8904.0,fd_parameters_detector_all_lanes,42.72548317823909,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-20 18:05:00-07:00,67.2,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-16,AM,4.0,48,26826.0,6706.5,7073.0,1.0546484753597256,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-16 07:55:00-07:00,56.6,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-16,MD,5.0,60,26428.0,5285.6,7148.0,1.3523535644013924,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-16 10:25:00-07:00,59.00000000000001,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-16,NT1,6.0,72,37188.0,6198.0,7166.0,1.1561794127137786,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-16 04:50:00-07:00,58.1,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-16,NT2,5.0,60,12358.0,2471.6,6516.0,2.6363489237740736,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-16 22:55:00-07:00,34.2,22.87499427154939,22.986120658528797,0.11112638697940534,interpolated;interpolated,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-16,PM,4.0,48,6235.0,1558.75,2744.0,1.7603849238171612,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-16 17:35:00-07:00,65.7,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-17,AM,4.0,48,27677.0,6919.25,7196.0,1.0399971095133143,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-17 09:00:00-07:00,60.3,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-17,MD,5.0,60,27566.0,5513.2,7218.0,1.309221504752231,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-17 10:25:00-07:00,62.9,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-17,NT1,6.0,72,38627.0,6437.833333333333,7166.0,1.1131074119139464,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-17 04:25:00-07:00,58.7,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
L405S-001,1223027,2025-06-17,NT2,5.0,60,11765.0,2353.0,5629.0,2.3922651933701657,derived_from_observed_rolling_1h_peak,10836.0,fd_parameters_detector_all_lanes,44.7014435695538,,,not_identified_by_adapter_requires_discharge_evidence,2025-06-17 23:40:00-07:00,66.0,,,0.0,no_cutoff_crossing,observed_integrated_5min_flow_rate
