period,link_id,corridor,tmc_code,lanes,period_hours,V_assign_veh,lower_bound_veh,upper_bound_veh,inside_window,below_lower,above_upper,V_over_lower,V_over_upper,queued_bins,pinned_by_queue_veh,absorbed_by_free_bins_veh,share_pinned,mu_free_vph,bins_clipped_at_mu_free,volume_not_placed_veh,share_not_placed,V_assign_vphpl,queue_peak_model_veh,queue_peak_meas_veh,peak_ratio,queue_at_AM_MD_boundary_veh,queue_at_MD_PM_boundary_veh,end_of_run_queue_veh,storage_veh,peak_over_storage,bins_over_storage,bins_at_capacity,unmet_demand_veh,residual_rmse_veh,residual_rmse_in_episode_veh,has_queue,length_mi,free_speed_mph,cutoff_mph,mae_period_mph_anchored,mae_episode_mph_anchored,bias_episode_mph_anchored,episode_bins_anchored,mae_period_mph_assignment,mae_episode_mph_assignment,bias_episode_mph_assignment,episode_bins_assignment,mae_period_mph_free_flow,mae_episode_mph_free_flow,bias_episode_mph_free_flow,episode_bins_free_flow,t0_min_obs,T2_min_obs,t3_min_obs,P_h_obs,vT2_mph_obs,t0_min_model,T2_min_model,t3_min_model,P_h_model,vT2_mph_model
AM,26424,I395_NB,110+04127,4,3.0,17654.8321,0.0,22800.0,True,False,False,,0.7743347412280701,0,0.0,17654.8321,0.0,7600.0,0,0.0,0.0,1471.2360083333333,0.0,0.0,,0.0,0.0,0.0,656.0,0.0,0,0,0.0,0.0,,False,0.82,66.15,46.305,6.699782608695658,,,0,6.699782608695658,,,0,6.699782608695658,,,0,,,,,,,,,,
AM,26469,I395_NB,110P04130,6,3.0,18826.7118,28463.097160463072,28463.097160463072,False,True,False,0.6614428392617588,0.6614428392617588,12,30045.47474141931,-11218.76294141931,1.5958960364719297,11400.0,0,0.0,0.0,1045.9284333333333,170.05043523180893,178.020759091885,0.9552281211430954,82.33911737427479,145.4917150248716,86.11929584395739,240.0,0.7085434801325372,0,52,257.5806836054139,6.81835024690349,6.81835024690349,True,0.2,52.147,36.5029,0.460839500348999,0.460839500348999,0.1135704587249843,16,41.14901086956522,41.14901086956522,41.96482608695652,16,41.14901086956522,41.14901086956522,41.96482608695652,16,,,,,,,,,,
AM,26471,I395_SB,110N04129,3,3.0,8896.3266,0.0,17100.0,True,False,False,,0.5202530175438597,0,0.0,8896.3266,0.0,5700.0,0,0.0,0.0,988.4807333333332,0.0,0.0,,0.0,0.0,0.0,84.00000000000001,0.0,0,0,0.0,0.0,,False,0.14,53.6565,37.55955,10.468565217391305,,,0,10.468565217391305,,,0,10.468565217391305,,,0,,,,,,,,,,
AM,26501,I395_NB,110+04130,3,3.0,10677.7245,13081.48197661338,14506.48197661338,False,True,False,0.8162473119704071,0.7360657475199079,11,13596.434302924315,-2918.709802924315,1.273345674251505,5700.0,0,0.0,0.0,1186.4138333333333,62.93762514530749,66.80635484539062,0.9420903938100426,30.572716305981203,51.051785462801945,33.98195686901977,90.0,0.6993069460589721,0,51,100.73152593971145,3.051884688001143,3.0816598778507283,True,0.15,52.70299999999998,36.89209999999999,0.6177860077701769,0.6177860077701769,0.106324608847852,16,41.907021739130414,41.907021739130414,42.3716956521739,16,41.907021739130414,41.907021739130414,42.3716956521739,16,,,,,,,,,,
AM,26684,I395_SB,110-04127,3,3.0,6088.4824,0.0,17100.0,True,False,False,,0.3560516023391812,0,0.0,6088.4824,0.0,5700.0,0,0.0,0.0,676.4980444444444,0.0,0.0,,0.0,0.0,0.0,42.00000000000001,0.0,0,0,0.0,0.0,,False,0.07,60.0465,42.03255,6.844190217391314,,,0,6.844190217391314,,,0,6.844190217391307,,,0,,,,,,,,,,
AM,26699,I395_SB,110N04127,3,3.0,8531.1348,0.0,17100.0,True,False,False,,0.4988967719298245,0,0.0,8531.1348,0.0,5700.0,0,0.0,0.0,947.9038666666668,14.405512237382707,15.051011881748082,0.9571125417057076,0.0,0.0,3.2746258833856245,60.0,0.2400918706230451,0,15,14.405512237382707,0.6148672238640835,1.1084676516220744,True,0.1,60.8665,42.60655,1.8356385379285984,1.8356385379285984,0.2671084658559621,16,33.98829347826087,33.98829347826087,37.04084782608696,16,33.98829347826087,33.98829347826087,37.04084782608696,16,,,,,,,,,,
AM,26708,I395_NB,110+04125,4,3.0,21048.796,0.0,22800.0,True,False,False,,0.9231928070175438,0,0.0,21048.796,0.0,7600.0,0,0.0,0.0,1754.0663333333332,0.0,0.0,,0.0,0.0,0.0,56.00000000000001,0.0,0,0,0.0,0.0,,False,0.07,68.08,47.656,9.857608695652171,,,0,9.857608695652171,,,0,9.857608695652171,,,0,,,,,,,,,,
AM,26712,I395_SB,110N04130,6,3.0,14023.747,0.0,34200.0,True,False,False,,0.410051081871345,0,0.0,14023.747,0.0,11400.0,0,0.0,0.0,779.0970555555555,0.0,0.0,,0.0,0.0,0.0,240.0,0.0,0,0,0.0,0.0,,False,0.2,53.67099999999999,37.56969999999999,13.103228260869557,,,0,13.103228260869557,,,0,13.103228260869557,,,0,,,,,,,,,,
AM,26756,I395_NB,110P04124,4,3.0,21048.796,16552.473283693766,22252.47328369377,True,False,False,1.2716405360844574,0.9459081573383664,9,16709.216375473152,4339.579624526847,0.7938324061610532,7600.0,0,0.0,0.0,1754.0663333333332,34.118067044099234,34.08693663304662,1.000913265142824,22.622512561849817,0.0,0.0,280.0,0.1218502394432115,0,11,34.118067044099234,3.1337826106462643,6.812634290922232,True,0.35,67.23,47.061,17.35565217391305,,,0,17.35565217391305,,,0,17.35565217391305,,,0,400.49127123333335,480.0,563.2780871833334,2.713113599166667,36.026811594202904,418.97790406666667,495.0,555.7575383999999,2.2796605722222223,35.6908031963892
AM,26759,I395_SB,110N04124,4,3.0,11440.7239,0.0,22800.0,True,False,False,,0.5017861359649123,0,0.0,11440.7239,0.0,7600.0,0,0.0,0.0,953.3936583333334,40.13964005213347,41.92455785904589,0.9574254828658308,0.0,0.0,0.0606241019277149,224.00000000000003,0.1791948216613101,0,14,43.09146702331623,2.977319887579269,5.738011588103664,True,0.28,62.2265,43.55855,4.058159299594823,2.55219353490255,0.1970122739818478,14,25.87796739130435,27.481251552795037,27.7215,14,25.87796739130435,27.481251552795037,27.7215,14,,,,,,,,,,
