clock,corridor,tmc,net_link_id,period,period_hours,miles,lanes,capacity_vphpl,cutoff_mph,bins,bins_below_cutoff,congested,min_speed_mph,P_h,D_veh_per_lane,V_veh_per_lane,D_veh_total,V_veh_total,D_over_C_h,V_over_C_h,qbar_over_C_congested
pipeline,I-395 NB,110+04128,26822,NT,2.0,0.02384,2,2200.0,49.0,8,0,False,49.25999999999999,0.0,0.0,4378.4341765314,0.0,8756.8683530628,0.0,1.9901973529688184,
pipeline,I-395 NB,110+04129,26825,NT,2.0,0.135112,3,2200.0,49.0,8,6,True,39.792222222222215,1.5,3272.232037852823,4372.228873305633,9816.696113558468,13116.686619916898,1.4873781990240105,1.9873767605934696,0.9915854660160069
pipeline,I-395 NB,110+04130,26830,NT,2.0,0.080932,2,2200.0,49.0,8,8,True,29.313555555555553,2.0,4224.531627806428,4224.531627806428,8449.063255612857,8449.063255612857,1.920241649002922,1.920241649002922,0.960120824501461
pipeline,I-395 NB,110+04670,26812,NT,2.0,0.095046,3,2200.0,49.0,8,0,False,56.705333333333336,0.0,0.0,4256.693127996778,0.0,12770.079383990333,0.0,1.934860512725808,
pipeline,I-395 NB,110P04120,29361,NT,2.0,1.621245,4,2200.0,49.0,8,0,False,59.217111111111116,0.0,0.0,4113.059382051369,0.0,16452.237528205475,0.0,1.8695724463869858,
pipeline,I-395 NB,110P04121,32601,NT,2.0,0.647875,4,2200.0,49.0,8,0,False,58.03466666666666,0.0,0.0,4175.342442767718,0.0,16701.369771070873,0.0,1.897882928530781,
pipeline,I-395 NB,110P04122,28270,NT,2.0,0.586105,4,2200.0,49.0,8,0,False,62.17622222222223,0.0,0.0,3895.316330554804,0.0,15581.265322219217,0.0,1.7705983320703655,
pipeline,I-395 NB,110P04123,28285,NT,2.0,0.596275,4,2200.0,49.0,8,0,False,59.178666666666665,0.0,0.0,4141.711181966913,0.0,16566.84472786765,0.0,1.882595991803142,
pipeline,I-395 NB,110P04124,28303,NT,2.0,0.704235,4,2200.0,49.0,8,0,False,61.71000000000001,0.0,0.0,3934.246594043806,0.0,15736.986376175224,0.0,1.7882939063835481,
pipeline,I-395 NB,110P04126,26778,NT,2.0,0.391606,4,2200.0,49.0,8,0,False,57.68333333333334,0.0,0.0,4222.46563595075,0.0,16889.862543803,0.0,1.9193025617957953,
