corridor,net_link_id,period,tmcs,miles,lanes,capacity_vphpl,period_hours,congested_tmcs,P_h,min_speed_mph,D_veh_per_lane,V_veh_per_lane,D_veh_total,V_veh_total,D_over_C_h,V_over_C_h,our_avg_flow_over_C,dc_dta_doc,dc_dta_vol,matched_to_assignment,V_over_C_minus_dta_vol,V_over_C_div_dta_vol,D_over_C_div_dta_vol
I-395 SB,26776,AM,1,0.539375,4,2200.0,3.0,0,0.0,59.61711111111111,0.0,6137.408110046868,0.0,24549.632440187474,0.0,2.789730959112213,0.9299103197040709,,,False,,,
I-395 SB,26781,AM,1,0.075065,4,2200.0,3.0,0,0.0,61.49822222222222,0.0,5962.296026133554,0.0,23849.184104534215,0.0,2.7101345573334337,0.9033781857778113,,,False,,,
I-395 SB,26792,AM,1,0.626954,4,2200.0,3.0,0,0.0,62.01844444444445,0.0,5905.663907323267,0.0,23622.65562929307,0.0,2.6843926851469395,0.8947975617156465,,,False,,,
I-395 SB,26796,AM,1,0.481819,4,2200.0,3.0,0,0.0,61.68311111111111,0.0,5879.166630999056,0.0,23516.666523996224,0.0,2.6723484686359344,0.8907828228786449,,,False,,,
I-395 SB,26809,AM,1,1.063231,3,2200.0,3.0,0,0.0,58.406888888888886,0.0,6312.021174850252,0.0,18936.063524550755,0.0,2.8691005340228415,0.9563668446742805,,,False,,,
I-395 SB,26827,AM,1,0.031164,2,2200.0,3.0,0,0.0,52.77711111111111,0.0,6540.60877991798,0.0,13081.21755983596,0.0,2.9730039908718093,0.9910013302906031,,,False,,,
I-395 SB,26829,AM,2,0.246745,3,2200.0,3.0,1,0.567850412369045,47.808888888888895,1248.5589692331137,6593.734063088351,3745.676907699341,19781.202189265052,0.5675268041968698,2.9971518468583414,0.9990506156194471,,,False,,,
I-395 SB,28283,AM,1,0.771707,4,2200.0,3.0,0,0.0,62.54244444444444,0.0,5848.41095407873,0.0,23393.64381631492,0.0,2.658368615490332,0.8861228718301106,,,False,,,
I-395 SB,28289,AM,1,0.922212,4,2200.0,3.0,0,0.0,61.10066666666666,0.0,5886.128625873335,0.0,23544.51450349334,0.0,2.6755130117606067,0.8918376705868689,,,False,,,
I-395 SB,28302,AM,1,0.76605,4,2200.0,3.0,0,0.0,61.52622222222222,0.0,5925.460877473488,0.0,23701.84350989395,0.0,2.6933913079424947,0.8977971026474982,,,False,,,
I-395 SB,28307,AM,1,0.122184,4,2200.0,3.0,0,0.0,58.03,0.0,6230.700573435224,0.0,24922.802293740897,0.0,2.8321366242887382,0.9440455414295794,,,False,,,
I-395 SB,32603,AM,1,1.301767,3,2200.0,3.0,0,0.0,61.55044444444445,0.0,5913.001818393255,0.0,17739.005455179766,0.0,2.6877280992696613,0.8959093664232204,,,False,,,
I-395 SB,32610,AM,1,0.183298,3,2200.0,3.0,0,0.0,59.03244444444445,0.0,6161.810561771209,0.0,18485.431685313626,0.0,2.8008229826232767,0.9336076608744256,,,False,,,
I-395 SB,32611,AM,1,0.508993,4,2200.0,3.0,0,0.0,60.85666666666666,0.0,5960.608189251481,0.0,23842.432757005925,0.0,2.7093673587506735,0.9031224529168912,,,False,,,
I-395 SB,32623,AM,1,1.053164,3,2200.0,3.0,0,0.0,63.10422222222221,0.0,5718.31391279624,0.0,17154.94173838872,0.0,2.599233596725564,0.8664111989085214,,,False,,,
I-395 SB,26471,MD,2,0.24169,3,2200.0,6.0,2,6.0,44.91644444444445,13157.145286497254,13157.145286497254,39471.435859491765,39471.435859491765,5.9805205847714795,5.9805205847714795,0.9967534307952466,,,False,,,
I-395 SB,26712,MD,1,0.189735,6,2200.0,6.0,1,6.0,43.086444444444446,13139.112312684005,13139.112312684005,78834.67387610403,78834.67387610403,5.972323778492729,5.972323778492729,0.9953872964154549,,,False,,,
I-395 SB,26759,MD,1,0.59288,4,2200.0,6.0,0,0.0,51.114666666666665,0.0,12743.573534887017,0.0,50974.29413954807,0.0,5.792533424948644,0.9654222374914406,,,False,,,
I-395 SB,26764,MD,1,0.223822,4,2200.0,6.0,0,0.0,50.06155555555555,0.0,12868.225965697631,0.0,51472.903862790525,0.0,5.849193620771651,0.9748656034619417,,,False,,,
I-395 SB,26776,MD,1,0.539375,4,2200.0,6.0,0,0.0,52.24955555555556,0.0,12555.40634252398,0.0,50221.62537009592,0.0,5.707002882965446,0.9511671471609077,,,False,,,
I-395 SB,26781,MD,1,0.075065,4,2200.0,6.0,0,0.0,51.156000000000006,0.0,12361.8155556491,0.0,49447.2622225964,0.0,5.619007070749591,0.9365011784582652,,,False,,,
I-395 SB,26792,MD,1,0.626954,4,2200.0,6.0,1,0.5,45.642,1094.6873757595326,12322.07579471997,4378.749503038131,49288.30317887988,0.4975851707997876,5.600943543054532,0.9334905905090887,,,False,,,
I-395 SB,26796,MD,1,0.481819,4,2200.0,6.0,1,0.75,38.03066666666667,1598.4674968072925,12230.134373110004,6393.86998722917,48920.53749244002,0.7265761349124057,5.559151987777275,0.9265253312962125,,,False,,,
I-395 SB,26809,MD,1,1.063231,3,2200.0,6.0,1,0.5,44.26711111111111,1091.7764906489017,12804.82123754286,3275.329471946705,38414.46371262858,0.4962620412040462,5.820373289792209,0.9700622149653682,,,False,,,
I-395 SB,26827,MD,1,0.031164,2,2200.0,6.0,0,0.0,52.947333333333326,0.0,13103.195471179428,0.0,26206.390942358856,0.0,5.955997941445195,0.9926663235741991,,,False,,,
I-395 SB,26829,MD,2,0.246745,3,2200.0,6.0,1,1.5142677663174533,46.91555555555556,3326.548622968286,13189.130053037816,9979.645868904858,39567.39015911345,1.5120675558946755,5.995059115017189,0.9991765191695315,,,False,,,
I-395 SB,28283,MD,1,0.771707,4,2200.0,6.0,0,0.0,54.01755555555555,0.0,12287.302258749804,0.0,49149.209034999214,0.0,5.58513739034082,0.93085623172347,,,False,,,
I-395 SB,28289,MD,1,0.922212,4,2200.0,6.0,0,0.0,51.16822222222222,0.0,12298.199637868507,0.0,49192.79855147403,0.0,5.590090744485685,0.9316817907476141,,,False,,,
I-395 SB,28302,MD,1,0.76605,4,2200.0,6.0,0,0.0,54.077777777777776,0.0,12249.454835075214,0.0,48997.819340300855,0.0,5.567934015943279,0.9279890026572132,,,False,,,
I-395 SB,28307,MD,1,0.122184,4,2200.0,6.0,0,0.0,52.48688888888889,0.0,12658.6021268778,0.0,50634.4085075112,0.0,5.753910057671727,0.9589850096119545,,,False,,,
I-395 SB,32603,MD,1,1.301767,3,2200.0,6.0,0,0.0,51.61777777777778,0.0,12198.42857908297,0.0,36595.28573724891,0.0,5.544740263219532,0.9241233772032554,,,False,,,
I-395 SB,32610,MD,1,0.183298,3,2200.0,6.0,0,0.0,50.23777777777779,0.0,12687.045242316512,0.0,38061.135726949535,0.0,5.7668387465075055,0.9611397910845842,,,False,,,
I-395 SB,32611,MD,1,0.508993,4,2200.0,6.0,0,0.0,52.34222222222223,0.0,12460.580081670434,0.0,49842.320326681736,0.0,5.663900037122924,0.9439833395204874,,,False,,,
I-395 SB,32623,MD,1,1.053164,3,2200.0,6.0,0,0.0,57.59266666666667,0.0,11932.884006304434,0.0,35798.6520189133,0.0,5.424038184683833,0.9040063641139722,,,False,,,
I-395 SB,26471,NT,2,0.24169,3,2200.0,11.0,2,5.695579047540237,42.434444444444445,12470.26348277194,24133.731068676407,37410.79044831582,72401.19320602922,5.668301583078154,10.969877758489275,0.9972616144081159,,,False,,,
I-395 SB,26712,NT,1,0.189735,6,2200.0,11.0,1,4.25,40.28377777777778,9280.585777968878,24118.124528065466,55683.514667813266,144708.7471683928,4.2184480808949445,10.962783876393393,0.9966167160357631,,,False,,,
I-395 SB,26759,NT,1,0.59288,4,2200.0,11.0,0,0.0,52.88955555555555,0.0,23173.115711080587,0.0,92692.46284432235,0.0,10.53323441412754,0.9575667649206854,,,False,,,
I-395 SB,26764,NT,1,0.223822,4,2200.0,11.0,0,0.0,50.40111111111111,0.0,23422.171255344638,0.0,93688.68502137855,0.0,10.646441479702109,0.9678583163365553,,,False,,,
I-395 SB,26776,NT,1,0.539375,4,2200.0,11.0,0,0.0,52.58977777777778,0.0,22778.86199659789,0.0,91115.44798639156,0.0,10.354028180271769,0.9412752891156153,,,False,,,
I-395 SB,26781,NT,1,0.075065,4,2200.0,11.0,0,0.0,52.916,0.0,22181.106518507204,0.0,88724.42607402882,0.0,10.082321144776001,0.916574649525091,,,False,,,
I-395 SB,26792,NT,1,0.626954,4,2200.0,11.0,0,0.0,51.184666666666665,0.0,22097.01647686273,0.0,88388.06590745092,0.0,10.044098398573968,0.9130998544158153,,,False,,,
I-395 SB,26796,NT,1,0.481819,4,2200.0,11.0,0,0.0,49.17155555555556,0.0,21600.332553548687,0.0,86401.33021419475,0.0,9.818332978885767,0.8925757253532516,,,False,,,
I-395 SB,26809,NT,1,1.063231,3,2200.0,11.0,0,0.0,51.559777777777775,0.0,23499.611165197945,0.0,70498.83349559383,0.0,10.681641438726338,0.9710583126114852,,,False,,,
I-395 SB,26827,NT,1,0.031164,2,2200.0,11.0,0,0.0,49.80511111111111,0.0,24068.41169218144,0.0,48136.82338436288,0.0,10.940187132809745,0.9945624666190678,,,False,,,
I-395 SB,26829,NT,2,0.246745,3,2200.0,11.0,2,3.822606334474863,42.558666666666674,8383.157720352501,24145.929917240337,25149.473161057504,72437.78975172101,3.8105262365238644,10.975422689654698,0.997765699059518,,,False,,,
I-395 SB,28283,NT,1,0.771707,4,2200.0,11.0,0,0.0,57.896888888888896,0.0,21939.24642906612,0.0,87756.98571626448,0.0,9.9723847404846,0.9065804309531454,,,False,,,
I-395 SB,28289,NT,1,0.922212,4,2200.0,11.0,0,0.0,55.15022222222223,0.0,21578.59130020797,0.0,86314.36520083187,0.0,9.808450591003622,0.8916773264548747,,,False,,,
I-395 SB,28302,NT,1,0.76605,4,2200.0,11.0,0,0.0,57.456222222222216,0.0,22097.247464995915,0.0,88388.98985998366,0.0,10.044203393179961,0.9131093993799965,,,False,,,
I-395 SB,28307,NT,1,0.122184,4,2200.0,11.0,0,0.0,54.188,0.0,23000.300030993967,0.0,92001.20012397587,0.0,10.454681832269985,0.9504256211154533,,,False,,,
